"N-gram","宋史原文","宋史翻译","Total"
"同中书门下平章事兼","30","29","59"
"尚书右仆射兼中书侍","21","21","42"
"书右仆射兼中书侍郎","21","21","42"
"中书门下平章事兼枢","21","21","42"
"书门下平章事兼枢密","21","21","42"
"门下平章事兼枢密使","21","21","42"
"枢密院事兼参知政事","21","20","41"
"知枢密院事兼参知政","19","18","37"
"国派使者来进献特产","0","36","36"
"枢密院事兼权参知政","30","4","34"
"密院事兼权参知政事","30","4","34"
"为尚书右仆射兼中书","16","17","33"
"为同中书门下平章事","1","31","32"
"参知政事兼同知枢密","15","14","29"
"知政事兼同知枢密院","15","14","29"
"政事兼同知枢密院事","15","14","29"
"尚书左仆射兼门下侍","13","13","26"
"书左仆射兼门下侍郎","13","13","26"
"枢密院事兼代理参知","0","26","26"
"密院事兼代理参知政","0","26","26"
"院事兼代理参知政事","0","26","26"
"提举江州太平兴国宫","12","12","24"
"为尚书左仆射兼门下","10","12","22"
"中书门下平章事兼知","9","9","18"
"书门下平章事兼知枢","9","9","18"
"门下平章事兼知枢密","9","9","18"
"下平章事兼知枢密院","9","9","18"
"平章事兼知枢密院事","9","9","18"
"签书枢密院事兼权参","17","1","18"
"书枢密院事兼权参知","17","1","18"
"同知枢密院事兼权参","13","3","16"
"知枢密院事兼权参知","13","3","16"
"贤良方正能直言极谏","8","8","16"
"等人来祝贺明年新春","0","16","16"
"荆州刺史南谯王义宣","11","4","15"
"为参知政事兼同知枢","3","12","15"
"赐礼部奏名进士及第","8","7","15"
"龙神卫四厢都指挥使","9","6","15"
"签书枢密院事兼代理","0","15","15"
"书枢密院事兼代理参","0","15","15"
"武帝泰始元年十二月","7","7","14"
"为签书枢密院事兼代","0","14","14"
"金国派遣使臣来祝贺","0","14","14"
"拜同中书门下平章事","12","1","13"
"被推举参加进士考试","0","13","13"
"枢密院事兼太子宾客","6","6","12"
"晋武帝泰始元年十二","6","6","12"
"州刺史南谯王义宣以","12","0","12"
"为知枢密院事兼参知","1","11","12"
"同知枢密院事兼代理","0","11","11"
"知枢密院事兼代理参","0","11","11"
"佩带苍黑如水色的玉","0","11","11"
"江州刺史桂阳王休范","6","4","10"
"孝武帝大明元年五月","5","5","10"
"豫州刺史长沙王义欣","8","2","10"
"三十四万四千二百六","5","5","10"
"十四万四千二百六十","5","5","10"
"四万四千二百六十一","5","5","10"
"万四千二百六十一分","5","5","10"
"并同中书门下平章事","9","1","10"
"高丽国派使者来进献","0","10","10"
"丽国派使者来进献特","0","10","10"
"等出使金国祝贺新春","0","10","10"
