"N-gram","北齐书","北齐书翻译","Total"
"都督冀定沧瀛殷五州诸","2","2","4"
"督冀定沧瀛殷五州诸军","2","2","4"
"冀定沧瀛殷五州诸军事","2","2","4"
"太上皇帝诏兼散骑常侍","0","4","4"
"贾显智率豫州刺史斛斯","2","1","3"
"萧绎派遣使者朝见进贡","0","3","3"
"库莫奚派遣使者朝见进","0","3","3"
"莫奚派遣使者朝见进贡","0","3","3"
"遣东徐州刺史潘绍业密","1","1","2"
"前恒农太守元洪略镇陕","1","1","2"
"左厢大都督莫多娄贷文","1","1","2"
"开府仪同三司叱列延庆","1","1","2"
"行台尚书长史薛瑜守潼","1","1","2"
"台尚书长史薛瑜守潼关","1","1","2"
"逼西魏秦州刺史建忠王","1","1","2"
"西魏秦州刺史建忠王万","1","1","2"
"魏秦州刺史建忠王万俟","1","1","2"
"秦州刺史建忠王万俟普","1","1","2"
"州刺史建忠王万俟普拨","1","1","2"
"西魏晋州刺史韦孝宽守","1","1","2"
"魏晋州刺史韦孝宽守玉","1","1","2"
"晋州刺史韦孝宽守玉壁","1","1","2"
"魏帝诏太原公洋摄理军","1","1","2"
"帝诏太原公洋摄理军国","1","1","2"
"冀州渤海长乐安德武邑","2","0","2"
"故尚书左仆射慕容绍宗","1","1","2"
"梁湘东王萧绎遣使朝贡","2","0","2"
"茹茹俟利郁久闾李家提","1","1","2"
"发山东寡妇二千六百人","1","1","2"
"山东寡妇二千六百人配","1","1","2"
"老人刘奴等九百四十三","1","1","2"
"人刘奴等九百四十三人","1","1","2"
"东平公元景式等二十五","1","1","2"
"平公元景式等二十五家","1","1","2"
"大宁元年闰十二月癸卯","1","1","2"
"大宁元年冬十一月癸丑","1","1","2"
"河间王孝琬尚书左仆射","2","0","2"
"尚书右仆射赵彦深左仆","2","0","2"
"书右仆射赵彦深左仆射","2","0","2"
"太上皇帝诏增置都水使","1","1","2"
"上皇帝诏增置都水使者","1","1","2"
"皇帝诏增置都水使者一","1","1","2"
"帝诏增置都水使者一人","1","1","2"
"太上皇帝诏京官执事散","1","1","2"
"上皇帝诏京官执事散官","1","1","2"
"皇帝诏京官执事散官三","1","1","2"
"帝诏京官执事散官三品","1","1","2"
"太上皇帝诏侍中斛斯文","1","1","2"
