"N-gram","北齐书","北齐书翻译","Total"
"开府仪同三司","73","75","148"
"通直散骑常侍","24","24","48"
"金紫光禄大夫","17","19","36"
"派遣使者朝见","0","32","32"
"遣使者朝见进","0","32","32"
"使者朝见进贡","0","32","32"
"给事黄门侍郎","0","28","28"
"都督中外诸军","11","10","21"
"通直散骑侍郎","9","9","18"
"为尚书左仆射","0","18","18"
"员外散骑侍郎","9","8","17"
"加骠骑大将军","11","5","16"
"银青光禄大夫","8","8","16"
"加开府仪同三","7","6","13"
"是王的功劳啊","0","13","13"
"为尚书右仆射","0","13","13"
"任给事黄门侍","0","13","13"
"督中外诸军事","6","6","12"
"员外散骑常侍","6","6","12"
"中书侍郎李德","6","6","12"
"书侍郎李德林","6","6","12"
"又是王的功劳","0","12","12"
"平秦王高归彦","1","10","11"
"都督冀定沧瀛","5","5","10"
"第一领民酋长","0","10","10"
"吏部尚书尉瑾","5","4","9"
"皇帝从晋阳到","0","9","9"
"帝从晋阳到达","0","9","9"
"从晋阳到达京","0","9","9"
"晋阳到达京城","0","9","9"
"任开府仪同三","0","9","9"
"右丞相斛律光","4","4","8"
"侍中斛律孝卿","4","4","8"
"的第二个儿子","0","8","8"
"这又是王的功","0","7","7"
"国派遣使者朝","0","7","7"
"诏兼散骑常侍","0","7","7"
"广宁王孝珩为","0","7","7"
"接受禅让建国","0","7","7"
"任通直散骑常","0","7","7"
"兼通直散骑常","0","7","7"
"济州刺史蔡俊","3","3","6"
"北豫州刺史高","3","3","6"
"咸阳王斛律金","3","3","6"
"西南道大行台","3","3","6"
"太祖献武皇帝","3","3","6"
"威宗景烈皇帝","3","3","6"
"中书侍郎薛道","3","3","6"
"书侍郎薛道衡","3","3","6"
"授仪同大将军","4","2","6"
"黄门郎崔季舒","3","3","6"
"除事黄门侍郎","6","0","6"
"尚书吏部郎中","3","3","6"
"相府功曹参军","3","3","6"
"赠开府仪同三","4","2","6"
"尚书令司马子","3","3","6"
"尚书祠部郎中","3","3","6"
"阳道行台左丞","3","3","6"
"任尚书左仆射","0","6","6"
"兼尚书左仆射","0","6","6"
"把他们打得大","0","6","6"
"他们打得大败","0","6","6"
"长广王高湛为","0","6","6"
"齐接受禅让建","0","6","6"
"任车骑大将军","0","6","6"
"任西兖州刺史","0","6","6"
"相州刺史刘诞","2","3","5"
"显祖文宣皇帝","3","2","5"
"河东王潘相乐","3","2","5"
"年春正月乙亥","3","2","5"
"太上皇帝诏散","5","0","5"
"上皇帝诏散骑","5","0","5"
"皇帝诏散骑常","5","0","5"
"帝诏散骑常侍","5","0","5"
"太上皇帝晋阳","5","0","5"
"太上皇帝幸晋","3","2","5"
"上皇帝幸晋阳","3","2","5"
"迁尚书左仆射","5","0","5"
"配享神武庙庭","2","3","5"
"大司马斛律金","3","2","5"
"除车骑大将军","5","0","5"
"加车骑大将军","4","1","5"
"授骠骑大将军","1","4","5"
"尚书左丞宋游","2","3","5"
"书左丞宋游道","2","3","5"
"世宗大将军府","3","2","5"
"省尚书左仆射","3","2","5"
"尚书左民郎中","2","3","5"
"常山王高演为","0","5","5"
"平阳王高淹为","0","5","5"
"秦王高归彦为","0","5","5"
"任城王氵皆为","0","5","5"
"兰陵王长恭为","0","5","5"
"善于骑马射箭","0","5","5"
"行并州刺史事","0","5","5"
"任尚书右仆射","0","5","5"
"任员外散骑侍","0","5","5"
"为给事黄门侍","0","5","5"
"任金紫光禄大","0","5","5"
"豫州刺史斛斯","2","2","4"
"仪同三司王思","2","2","4"
"同三司王思政","2","2","4"
"州刺史司马世","2","2","4"
"刺史司马世云","2","2","4"
"年春正月庚申","2","2","4"
"渤海长乐安德","2","2","4"
"海长乐安德武","2","2","4"
"长乐安德武邑","2","2","4"
"御史中尉刘贵","2","2","4"
"萧绎遣使朝贡","4","0","4"
"库莫奚遣使朝","4","0","4"
"莫奚遣使朝贡","4","0","4"
"遣尚书左仆射","2","2","4"
"湘州刺史王琳","2","2","4"
"右仆射燕子献","2","2","4"
"散骑常侍郑子","2","2","4"
"骑常侍郑子默","2","2","4"
"左丞相斛律金","2","2","4"
"散骑常侍刘逖","2","2","4"
"尚书右仆射赵","2","2","4"
"书右仆射赵彦","2","2","4"
"右仆射赵彦深","2","2","4"
"高祖文宣皇帝","2","2","4"
"靺鞨遣使朝贡","3","1","4"
"安定王贺拔仁","2","2","4"
"府仪同三司徐","2","2","4"
"内外百官普进","2","2","4"
"外百官普进二","2","2","4"
"百官普进二级","2","2","4"
"将军厍狄伏连","2","2","4"
"书侍御史王子","2","2","4"
"武平元年六月","2","2","4"
"周将宇文神举","3","1","4"
"督冀定沧瀛幽","2","2","4"
"西南道大都督","2","2","4"
"行台慕容绍宗","2","2","4"
"左卫将军刘丰","2","2","4"
"卫将军刘丰等","2","2","4"
"配享世宗庙庭","2","2","4"
"位开府仪同三","3","1","4"
"大将军斛律光","2","2","4"
"除尚书右仆射","4","0","4"
"开府仪同大将","2","2","4"
"府仪同大将军","2","2","4"
"豫州刺史高仲","2","2","4"
"州刺史高仲密","2","2","4"
"十二州诸军事","2","2","4"
"齐国公宇文宪","2","2","4"
"邑一千七百户","2","2","4"
"迁司徒左长史","3","1","4"
"行台仓部郎中","2","2","4"
"东南道大都督","2","2","4"
"州长史贺若徽","2","2","4"
"高祖破周文帝","3","1","4"
"破周文帝邙山","4","0","4"
"随仪同刘丰讨","2","2","4"
"幽州刺史刘灵","2","2","4"
"州刺史刘灵助","2","2","4"
"吏部郎中崔暹","2","2","4"
"冀州刺史万俟","2","2","4"
"州刺史万俟受","2","2","4"
"刺史万俟受洛","2","2","4"
"大行台吏部郎","2","2","4"
"行台吏部郎中","2","2","4"
"平原王段孝先","2","2","4"
"太子少师邢邵","2","2","4"
"府功曹参军事","2","2","4"
"丞相骑兵参军","2","2","4"
"吏部尚书李神","2","2","4"
"中外府功曹参","2","2","4"
"外府功曹参军","2","2","4"
"文襄大将军主","2","2","4"
"襄大将军主簿","2","2","4"
"司徒记室参军","2","2","4"
"通直常侍房延","2","2","4"
"直常侍房延佑","2","2","4"
"国子博士刁柔","2","2","4"
"东南道行台尚","2","2","4"
"南道行台尚书","2","2","4"
"大行台都官郎","2","2","4"
"行台都官郎中","2","2","4"
"吏部尚书袁聿","2","2","4"
"部尚书袁聿修","2","2","4"
"省尚书右仆射","2","2","4"
"寿阳道行台左","2","2","4"
"除左光禄大夫","3","1","4"
"太子少傅魏收","2","2","4"
"尚书令临淮王","2","2","4"
"七月二十五日","1","3","4"
"府仪同三司贺","2","2","4"
"仪同三司贺拔","2","2","4"
"咸阳王斛律光","2","2","4"
"督冀定沧瀛殷","2","2","4"
"冀定沧瀛殷五","2","2","4"
"定沧瀛殷五州","2","2","4"
"沧瀛殷五州诸","2","2","4"
"瀛殷五州诸军","2","2","4"
"殷五州诸军事","2","2","4"
"幽安五州诸军","2","2","4"
"安五州诸军事","2","2","4"
"巨鹿下曲阳人","2","2","4"
"拉着他的手说","0","4","4"
"受到当时人的","0","4","4"
"在很远的地方","0","4","4"
"用刀头上的环","0","4","4"
"听从了他的意","0","4","4"
"从了他的意见","0","4","4"
"其他官职不变","0","4","4"
"平原王高隆之","0","4","4"
"都派遣使者朝","0","4","4"
"奚派遣使者朝","0","4","4"
"陈国人前来访","0","4","4"
"国人前来访问","0","4","4"
"城王氵皆为太","0","4","4"
"冯翊王润为太","0","4","4"
"太上皇帝诏兼","0","4","4"
"上皇帝诏兼散","0","4","4"
"皇帝诏兼散骑","0","4","4"
"帝诏兼散骑常","0","4","4"
"太上皇帝诏以","0","4","4"
"车驾从晋阳返","0","4","4"
"安德王延宗为","0","4","4"
"太原王高绍德","0","4","4"
"的第三个儿子","0","4","4"
"的第四个儿子","0","4","4"
"的第五个儿子","0","4","4"
"加授仪同三司","0","4","4"
"领自己的部众","0","4","4"
"为中军大都督","0","4","4"
"尔朱兆于广阿","0","4","4"
"北齐接受禅让","0","4","4"
"行相州刺史事","0","4","4"
"为开府仪同三","0","4","4"
"朱荣进入洛阳","0","4","4"
"周文帝于邙山","0","4","4"
"破四胡于韩陵","0","4","4"
"任司徒左长史","0","4","4"
"的官位上去世","0","4","4"
"次升任为尚书","0","4","4"
"清河王高岳任","0","4","4"
"任员外散骑常","0","4","4"
"兼尚书右仆射","0","4","4"
"沧瀛二州诸军","2","1","3"
"瀛二州诸军事","2","1","3"
"茹茹主庵罗辰","2","1","3"
"加镇西墨曹参","2","1","3"
"镇西墨曹参军","2","1","3"
"贾显智率豫州","2","1","3"
"显智率豫州刺","2","1","3"
"智率豫州刺史","2","1","3"
"率豫州刺史斛","2","1","3"
"刺史朱浑道元","3","0","3"
"西魏仪同三司","2","1","3"
"魏仪同三司王","2","1","3"
"世宗文襄皇帝","2","1","3"
"王萧绎遣使朝","3","0","3"
"二年春正月丁","2","1","3"
"室韦国遣使朝","3","0","3"
"韦国遣使朝贡","3","0","3"
"契丹遣使朝贡","3","0","3"
"突厥遣使朝贡","3","0","3"
"周冢宰宇文护","2","1","3"
"景式等二十五","1","2","3"
"式等二十五家","1","2","3"
"乾明元年二月","2","1","3"
"赵郡王睿尚书","3","0","3"
"年春正月辛亥","2","1","3"
"元年春正月乙","2","1","3"
"诏散骑常侍崔","3","0","3"
"河间王孝琬尚","3","0","3"
"间王孝琬尚书","3","0","3"
"散骑常侍封孝","2","1","3"
"骑常侍封孝琰","2","1","3"
"二年春正月乙","2","1","3"
"广宁王孝珩司","3","0","3"
"广宁王孝珩录","2","1","3"
"宁王孝珩录尚","2","1","3"
"王孝珩录尚书","2","1","3"
"令侍中斛律孝","2","1","3"
"生河间王孝琬","2","1","3"
"累迁尚书左仆","3","0","3"
"除开府仪同三","3","0","3"
"位金紫光禄大","2","1","3"
"元海郑州刺史","2","1","3"
"高祖破纥豆陵","2","1","3"
"除骠骑大将军","2","1","3"
"门郎崔季舒等","1","2","3"
"御史中尉崔暹","2","1","3"
"沧瀛四州诸军","2","1","3"
"瀛四州诸军事","2","1","3"
"进位开府仪同","2","1","3"
"颍州长史贺若","2","1","3"
"西魏遣将怡锋","2","1","3"
"魏遣将怡锋率","2","1","3"
"遣将怡锋率众","2","1","3"
"将怡锋率众援","2","1","3"
"纥豆陵步藩侵","1","2","3"
"祖破周文帝邙","3","0","3"
"州道行台尚书","2","1","3"
"贞阳侯萧明率","1","2","3"
"累迁左光禄大","2","1","3"
"迁左光禄大夫","2","1","3"
"进位仪同三司","2","1","3"
"州平北府长史","2","1","3"
"释褐开府参军","3","0","3"
"辟开府行参军","3","0","3"
"高祖行台右丞","2","1","3"
"直散骑侍郎彭","2","1","3"
