"N-gram","北史","北史翻译","Total"
"被任命为给事黄门侍郎","0","4","4"
"周大冢宰宇文护引中外","3","0","3"
"骑在马上向左右两边射","0","3","3"
"在马上向左右两边射箭","0","3","3"
"隋文帝杨坚任北周丞相","0","3","3"
"贺拔岳被侯莫陈悦害死","0","3","3"
"神武帝高欢任晋州刺史","0","3","3"
"接受东魏孝静帝的禅让","0","3","3"
"越王侗遣武贲郎将刘长","2","0","2"
"王侗遣武贲郎将刘长恭","2","0","2"
"西道行台韩长业攻陷潞","1","1","2"
"道行台韩长业攻陷潞州","1","1","2"
"上开府莒州刺史乌丸尼","1","1","2"
"郧州总管司马消难举兵","1","1","2"
"州总管司马消难举兵反","1","1","2"
"随东南道行台樊子鹄追","1","1","2"
"内史侍郎虞世基参掌朝","1","1","2"
"史侍郎虞世基参掌朝政","1","1","2"
"随冯翊公长孙承业西征","1","1","2"
"等十一州十五镇诸军事","1","1","2"
"土豪王覆怜等阴谋举事","1","1","2"
"遣褒公宇文述深交杨约","1","1","2"
"通直散骑侍郎判司农少","1","1","2"
"直散骑侍郎判司农少卿","1","1","2"
"散骑侍郎判司农少卿事","1","1","2"
"骑侍郎判司农少卿事元","1","1","2"
"侍郎判司农少卿事元衡","1","1","2"
"九锡殊礼诏策笺表玺书","1","1","2"
"日影一丈二尺七寸二分","1","1","2"
"大冢宰宇文护引中外府","2","0","2"
"冢宰宇文护引中外府记","2","0","2"
"宰宇文护引中外府记室","2","0","2"
"遣淮安王神通安抚山东","1","1","2"
"增国子太学生员三千人","2","0","2"
"三十六科鬼神感应等大","1","1","2"
"十六科鬼神感应等大义","1","1","2"
"帅王薄北连豆子贼孙宣","1","1","2"
"王薄北连豆子贼孙宣雅","1","1","2"
"河南道十二郡黜陟讨捕","1","1","2"
"南道十二郡黜陟讨捕大","1","1","2"
"道十二郡黜陟讨捕大使","1","1","2"
"平原王段孝先相府行参","1","1","2"
"原王段孝先相府行参军","1","1","2"
"计一百八十二日行一百","2","0","2"
"时工部尚书宇文恺造辽","1","1","2"
"工部尚书宇文恺造辽水","1","1","2"
"部尚书宇文恺造辽水桥","1","1","2"
"兵部侍郎斛斯政亡入高","2","0","2"
"部侍郎斛斯政亡入高丽","2","0","2"
"河西总管定城王钟利房","1","1","2"
"高车诸部望军降者数十","2","0","2"
"车诸部望军降者数十万","2","0","2"
"通直散骑常侍中书舍人","1","1","2"
"直散骑常侍中书舍人穆","1","1","2"
"散骑常侍中书舍人穆景","1","1","2"
"骑常侍中书舍人穆景相","1","1","2"
"常侍中书舍人穆景相等","1","1","2"
"阿瑰遣吐豆登郁久闾譬","2","0","2"
"吐豆发郁久闾汗拔姻姬","1","1","2"
"豆发郁久闾汗拔姻姬等","1","1","2"
"发郁久闾汗拔姻姬等送","1","1","2"
"郁久闾汗拔姻姬等送女","1","1","2"
"太子庵罗辰瑰弟登注俟","2","0","2"
"高车侄利曷莫弗敕力犍","1","1","2"
"车侄利曷莫弗敕力犍率","1","1","2"
"荥州刺史邵国公宇文胄","1","1","2"
"前通直散骑侍郎辛德源","1","1","2"
"镇西湘东王府中记室参","1","1","2"
"西湘东王府中记室参军","1","1","2"
"建国三十四年七月七日","1","1","2"
"北部大人叔孙普洛等十","1","1","2"
"部大人叔孙普洛等十三","1","1","2"
"大人叔孙普洛等十三人","1","1","2"
"北新侯安同等持节巡行","1","1","2"
"梁湘东王萧绎遣使朝贡","2","0","2"
"畿内老人刘奴等九百四","1","1","2"
"内老人刘奴等九百四十","1","1","2"
"老人刘奴等九百四十三","1","1","2"
"人刘奴等九百四十三人","1","1","2"
"肆州刺史濮阳公娄仲远","1","1","2"
"东平公元景式等二十五","1","1","2"
"平公元景式等二十五家","1","1","2"
"文宣命邢邵制帝名殷字","2","0","2"
"宣命邢邵制帝名殷字正","2","0","2"
"命邢邵制帝名殷字正道","2","0","2"
"召秦州刺史侯莫陈悦东","1","1","2"
"秦州刺史侯莫陈悦东下","1","1","2"
"禽东魏陕州刺史李徽伯","2","0","2"
"将作大匠宇文恺营建东","1","1","2"
"作大匠宇文恺营建东京","1","1","2"
"一百一十三万三千八百","1","1","2"
"左翊卫大将军宇文述等","2","0","2"
"翊卫大将军宇文述等破","2","0","2"
"卫大将军宇文述等破杨","2","0","2"
"大将军宇文述等破杨玄","2","0","2"
"将军宇文述等破杨玄感","2","0","2"
"军宇文述等破杨玄感阌","2","0","2"
"宇文述等破杨玄感阌乡","2","0","2"
"右骁卫大将军光禄大夫","1","1","2"
"太乐令公孙崇修造金石","1","1","2"
"中军大将军临川王萧宏","1","1","2"
"通直散骑侍郎彭贵平酒","1","1","2"
"直散骑侍郎彭贵平酒醉","1","1","2"
"吴兵将军公孙表等南征","1","1","2"
"时沃野镇人破六韩拔陵","1","1","2"
"沃野镇人破六韩拔陵首","1","1","2"
"淮南道行台尚书吏部郎","1","1","2"
"义云遣御史张子阶诣州","2","0","2"
"云遣御史张子阶诣州采","2","0","2"
"遣御史张子阶诣州采风","2","0","2"
"御史张子阶诣州采风闻","2","0","2"
"遣队主巩荣贵防禁送都","2","0","2"
"黄门侍郎郑子默受遗诏","1","1","2"
"门侍郎郑子默受遗诏辅","1","1","2"
"宋青州刺史沈文秀建威","1","1","2"
"青州刺史沈文秀建威府","1","1","2"
"门下金墉中书外省考论","2","0","2"
"下金墉中书外省考论律","2","0","2"
"金墉中书外省考论律令","2","0","2"
"梁将齐苟仁等二十一人","1","1","2"
"时除安乐王鉴徐州刺史","2","0","2"
"除安乐王鉴徐州刺史讨","2","0","2"
"梁左游击将军赵祖悦率","1","1","2"
"遣北梁州长史锡休儒等","1","1","2"
"司徒录事参军卢思道私","1","1","2"
"高平镇城人赫贵连恩等","1","1","2"
"大都督武卫将军贺拔岳","1","1","2"
"都督关中二十州诸军事","1","1","2"
"西魏北华州刺史薛崇礼","1","1","2"
"执子司徒中兵慧登等二","2","0","2"
"子司徒中兵慧登等二十","2","0","2"
"司徒中兵慧登等二十人","2","0","2"
"徒中兵慧登等二十人前","2","0","2"
"洛州行台仆射独孤永业","1","1","2"
"弘农等二十一郡诸军事","1","1","2"
"开府仪同三司贺拔伏恩","1","1","2"
"慕容钟葵等宿卫近臣三","1","1","2"
"容钟葵等宿卫近臣三十","1","1","2"
"大将军左光禄大夫麦铁","1","1","2"
"将军左光禄大夫麦铁杖","1","1","2"
"苏绰与宇文泰的意见相","0","2","2"
"绰与宇文泰的意见相同","0","2","2"
"悲伤过度以至于损伤了","0","2","2"
"伤过度以至于损伤了身","0","2","2"
"过度以至于损伤了身体","0","2","2"
