"N-gram","原文","翻译","Total"
"开府仪同三司","101","100","201"
"通直散骑常侍","74","74","148"
"员外散骑常侍","36","36","72"
"金紫光禄大夫","22","22","44"
"给事黄门侍郎","0","31","31"
"通直散骑侍郎","13","13","26"
"职务依旧担任","0","22","22"
"都督南徐州诸","9","9","18"
"督南徐州诸军","9","9","18"
"南徐州诸军事","9","9","18"
"祯明三年入关","9","9","18"
"隋大业年中为","0","18","18"
"皇帝舆驾亲临","0","16","16"
"任给事黄门侍","0","16","16"
"国遣使献方物","15","0","15"
"秉承皇帝旨意","0","15","15"
"任通直散骑常","0","15","15"
"进号镇南将军","11","3","14"
"东宫通事舍人","8","6","14"
"任命为散骑常","0","14","14"
"命为散骑常侍","0","14","14"
"州刺史吴明彻","7","6","13"
"广州刺史欧阳","7","6","13"
"州刺史黄法抃","11","2","13"
"州刺史始兴王","8","5","13"
"都督南豫州诸","7","6","13"
"督南豫州诸军","7","6","13"
"南豫州诸军事","7","6","13"
"的职务依旧担","0","13","13"
"舆驾亲祠太庙","12","0","12"
"加通直散骑常","9","3","12"
"南徐州大中正","6","6","12"
"王府谘议参军","6","6","12"
"王府记室参军","6","6","12"
"以前赐予的共","0","12","12"
"都督中外诸军","6","5","11"
"督中外诸军事","6","5","11"
"进号平北将军","7","4","11"
"增赐食邑合计","0","11","11"
"赐食邑合计以","0","11","11"
"食邑合计以前","0","11","11"
"邑合计以前赐","0","11","11"
"合计以前赐予","0","11","11"
"计以前赐予的","0","11","11"
"调出京城担任","0","11","11"
"进号安南将军","8","2","10"
"江州刺史周迪","5","5","10"
"州刺史章昭达","5","5","10"
"员外散骑侍郎","5","5","10"
"中书通事舍人","5","5","10"
"鄱阳王谘议参","4","6","10"
"阳王谘议参军","4","6","10"
"元帝秉承皇帝","0","10","10"
"战功被任命为","0","10","10"
"承皇帝的旨意","0","10","10"
"进号平南将军","6","3","9"
"刺史始兴王叔","5","4","9"
"史始兴王叔陵","5","4","9"
"授通直散骑常","5","4","9"
"迁事黄门侍郎","9","0","9"
"始兴王谘议参","4","5","9"
"兴王谘议参军","4","5","9"
"为尚书右仆射","0","9","9"
"任员外散骑常","0","9","9"
"为开府仪同三","0","9","9"
"赏给鼓吹乐一","0","9","9"
"给鼓吹乐一部","0","9","9"
"增赐食邑五百","0","9","9"
"赐食邑五百户","0","9","9"
"为通直散骑常","0","9","9"
"当时年纪五十","0","9","9"
"高州刺史黄法","5","3","8"
"湘州刺史华皎","4","4","8"
"长胡公拓跋定","4","4","8"
"督征讨诸军事","4","4","8"
"州刺史鄱阳王","6","2","8"
"迁通直散骑常","7","1","8"
"配享高祖庙庭","7","1","8"
"武三州诸军事","5","3","8"
"进号云麾将军","6","2","8"
"督吴州诸军事","4","4","8"
"尚书吏部侍郎","4","4","8"
"帝舆驾亲临太","0","8","8"
"舆驾亲临太庙","0","8","8"
"驾亲临太庙祭","0","8","8"
"亲临太庙祭祀","0","8","8"
"升任散骑常侍","0","8","8"
"有战功被任命","0","8","8"
"秉承皇帝的旨","0","8","8"
"侯景叛乱的时","0","8","8"
"景叛乱的时候","0","8","8"
"为太子中庶子","0","8","8"
"任太子中庶子","0","8","8"
"领左骁骑将军","0","8","8"
"州刺史余孝顷","4","3","7"
