"N-gram","原文","翻译","Total"
"大将军霍光","41","72","113"
"呼韩邪单于","0","66","66"
"大将军王凤","23","39","62"
"赐爵关内侯","47","13","60"
"大司马车骑","28","31","59"
"司马车骑将","28","31","59"
"马车骑将军","28","31","59"
"为御史大夫","0","49","49"
"占候的人说","0","47","47"
"大将军卫青","6","34","40"
"元年春正月","21","18","39"
"任御史大夫","0","39","39"
"官吏和百姓","0","36","36"
"新都侯王莽","12","23","35"
"为光禄大夫","0","33","33"
"车骑将军王","12","20","32"
"汉朝建立后","0","32","32"
"曲阳侯王根","6","25","31"
"圣明的君主","0","30","30"
"大司马大将","13","16","29"
"司马大将军","13","16","29"
"贰师将军李","7","22","29"
"师将军李广","7","22","29"
"将军李广利","7","22","29"
"过了一年多","0","29","29"
"祖母傅太后","14","14","28"
"董仲舒认为","0","28","28"
"经过两个郡","0","28","28"
"都护治所乌","1","26","27"
"封国被废除","0","27","27"
"大司马卫将","12","14","26"
"司马卫将军","12","14","26"
"西域都护治","0","26","26"
"域都护治所","0","26","26"
"护治所乌垒","1","24","25"
"二千石的官","0","25","25"
"治所乌垒城","1","23","24"
"到西域都护","0","24","24"
"大司空何武","11","12","23"
"部都尉治理","0","23","23"
"三年春正月","11","11","22"
"左将军上官","8","14","22"
"将军上官桀","8","14","22"
"骑将军王音","8","14","22"
"千三百五十","11","11","22"
"京兆尹王章","10","12","22"
"有彗星出现","0","22","22"
"圣明的君王","0","22","22"
"由都尉治理","0","22","22"
"女子百户牛","18","3","21"
"千四百六十","11","10","21"
"武帝元鼎六","11","10","21"
"帝元鼎六年","11","10","21"
"迁御史大夫","20","1","21"
"彗星出现在","0","21","21"
"治理国家的","0","21","21"
"昌邑王刘贺","0","21","21"
"二年春正月","9","11","20"
"将军张安世","10","10","20"
"二百四十二","10","10","20"
"百四十二年","10","10","20"
"千八百四十","10","10","20"
"刘向认为这","0","20","20"
"将军霍去病","0","20","20"
"皇上认为他","0","20","20"
"骠骑将军霍","1","18","19"
"大司马骠骑","2","17","19"
"司马骠骑将","2","17","19"
"马骠骑将军","2","17","19"
"四年春正月","10","9","19"
"将军光禄勋","10","9","19"
"御史大夫张","7","12","19"
"千三百六十","10","9","19"
"千三百二十","10","9","19"
"前将军萧望","8","11","19"
"中书令石显","10","9","19"
"千九百五十","9","10","19"
"将军公孙禄","9","10","19"
"哥哥的儿子","0","19","19"
"淮南王刘安","0","19","19"
"关内侯的爵","0","19","19"
"内侯的爵位","0","19","19"
"皇后的父亲","0","19","19"
"经过三个郡","0","19","19"
"县流入大海","0","19","19"
"举贤良方正","11","7","18"
"楼船将军杨","5","13","18"
"船将军杨仆","5","13","18"
"万九千六百","9","9","18"
"千三百四十","9","9","18"
"千二百八十","9","9","18"
"千三百八十","9","9","18"
"骑将军霍去","0","18","18"
"孔乡侯傅晏","6","11","17"
"千八百二十","9","8","17"
"将军赵充国","8","9","17"
"千五百五十","9","8","17"
"大司空师丹","8","9","17"
"北都护治所","17","0","17"
"爵为关内侯","0","17","17"
"过了几个月","0","17","17"
"定陵侯淳于","0","17","17"
"陵侯淳于长","0","17","17"
"赐民爵一级","14","2","16"
"年冬十二月","8","8","16"
"丞相翟方进","7","9","16"
"千五百六十","8","8","16"
"千六百八十","8","8","16"
"万一千五百","8","8","16"
"千七百六十","8","8","16"
"食邑三百户","10","6","16"
"大司空王邑","7","9","16"
"居住的地方","0","16","16"
"水的发源地","0","16","16"
"件事记载在","0","16","16"
"五年春正月","8","7","15"
"十一月甲子","9","6","15"
"度辽将军范","7","8","15"
"辽将军范明","7","8","15"
"千一百四十","8","7","15"
"千六百一十","8","7","15"
"千一百二十","8","7","15"
"成都侯王商","1","14","15"
"始元年正月","7","8","15"
