"N-gram","原文","翻译","Total"
"大司马吴汉","31","31","62"
"大将军梁冀","25","32","57"
"元年春正月","24","25","49"
"二年春正月","21","22","43"
"虎贲中郎将","19","20","39"
"大将军何进","18","20","38"
"匈奴中郎将","17","16","33"
"骠骑大将军","16","16","32"
"年春正月初","0","29","29"
"捕虏将军马","14","14","28"
"虏将军马武","14","14","28"
"三年春正月","14","14","28"
"郡国中都官","14","14","28"
"使匈奴中郎","15","12","27"
"赐天下男子","12","15","27"
"天下男子爵","12","15","27"
"把他们打败","0","27","27"
"举贤良方正","18","8","26"
"五官中郎将","12","14","26"
"建威大将军","13","13","26"
"为车骑将军","0","26","26"
"建武十三年","3","21","24"
"征南大将军","12","12","24"
"威大将军耿","12","12","24"
"四年春正月","12","12","24"
"月二十四日","0","24","24"
"年春正月十","0","23","23"
"大将军窦武","11","11","22"
"建义大将军","11","11","22"
"南大将军岑","11","11","22"
"大将军岑彭","11","11","22"
"虎牙大将军","11","11","22"
"征西大将军","10","11","21"
"西大将军冯","10","11","21"
"大将军冯异","10","11","21"
"将军皇甫嵩","10","11","21"
"五年春正月","11","10","21"
"义大将军朱","10","10","20"
"二千石长吏","10","9","19"
"车骑将军邓","9","10","19"
"大将军杜茂","9","9","18"
"护乌桓校尉","9","9","18"
"牙大将军盖","9","9","18"
"大将军盖延","9","9","18"
"夏四月二十","0","18","18"
"大将军梁商","8","9","17"
"扶风平陵人","10","7","17"
"伏波将军马","8","9","17"
"波将军马援","8","9","17"
"月二十二日","0","17","17"
"征虏将军祭","8","8","16"
"虏将军祭遵","8","8","16"
"骑大将军杜","8","8","16"
"中郎将张奂","8","8","16"
"减死罪一等","7","9","16"
"七年春正月","8","8","16"
"月二十三日","0","16","16"
"章帝诏令说","0","16","16"
"大将军朱祐","10","5","15"
"度辽将军耿","8","7","15"
"六年春正月","7","8","15"
"六年春二月","8","7","15"
"京师及郡国","0","15","15"
"被举为孝廉","0","15","15"
"彗星出现于","0","15","15"
"月二十五日","0","15","15"
"月二十九日","0","15","15"
"大司徒邓禹","7","7","14"
"中常侍侯览","7","7","14"
"大将军耿弇","13","1","14"
"中常侍曹节","7","7","14"
"大将军窦宪","6","8","14"
"行车骑将军","11","3","14"
"度辽将军邓","7","7","14"
"辽东太守祭","7","7","14"
"国中都官系","9","5","14"
"中都官系囚","10","4","14"
"令郡国中都","4","10","14"
"为太中大夫","0","14","14"
"十二月二十","0","14","14"
"月二十一日","0","14","14"
"月二十六日","0","14","14"
"下男子爵位","0","14","14"
"十一月二十","0","14","14"
"秋七月二十","0","14","14"
"武威将军刘","6","7","13"
"威将军刘尚","6","7","13"
"欲占者人一","13","0","13"
"占者人一级","13","0","13"
"史官评论说","0","13","13"
"史官评论道","0","13","13"
"各郡的部队","0","13","13"
"史家评论说","0","13","13"
"帝回到洛阳","0","13","13"
"车骑将军窦","5","7","12"
"骑将军窦宪","5","7","12"
"骑将军邓骘","6","6","12"
"辽将军邓遵","6","6","12"
"扬武将军马","6","6","12"
"武将军马成","6","6","12"
"奴中郎将张","6","6","12"
"月二十八日","1","11","12"
"参录尚书事","10","2","12"
"司马吴汉率","6","6","12"
"年春正月甲","12","0","12"
"八年春正月","6","6","12"
"护羌校尉段","6","6","12"
"派使者进贡","0","12","12"
"赏赐天下男","0","12","12"
"归首的每人","0","12","12"
"首的每人一","0","12","12"
"的每人一级","0","12","12"
"力田每人三","0","12","12"
"田每人三级","0","12","12"
"中常侍赵忠","6","5","11"
"建武二年春","5","6","11"
"遣光禄大夫","9","2","11"
"车骑将军马","6","5","11"
"骑将军马防","6","5","11"
"车骑将军皇","5","6","11"
"骑将军皇甫","5","6","11"
"东太守祭肜","6","5","11"
"建武十一年","1","10","11"
"四年春二月","6","5","11"
"力田人三级","11","0","11"
"护羌校尉马","6","5","11"
"建武十五年","1","10","11"
"的妻子儿女","0","11","11"
"东平王刘苍","0","11","11"
"打败了他们","0","11","11"
"春正月二十","0","11","11"
"骠骑将军东","5","5","10"
"骑将军东平","5","5","10"
"将军东平王","5","5","10"
"偏将军王霸","5","5","10"
"令司隶校尉","2","8","10"
"长沙太守孙","5","5","10"
"沙太守孙坚","5","5","10"
"斩首数千级","7","3","10"
"中常侍樊丰","5","5","10"
"执金吾贾复","5","5","10"
"大将军王常","5","5","10"
"车骑将军张","5","5","10"
"七十二弟子","5","5","10"
"京兆虎牙都","5","5","10"
"兆虎牙都尉","5","5","10"
"辽将军耿夔","5","5","10"
"汉忠将军王","5","5","10"
"忠将军王常","5","5","10"
"南匈奴左部","5","5","10"
"任司隶校尉","1","9","10"
"遂事十一陵","10","0","10"
"年春正月庚","10","0","10"
"年春正月辛","9","1","10"
"西域长史班","5","5","10"
"能直言极谏","8","2","10"
"都官系囚减","6","4","10"
"官系囚减死","6","4","10"
"羌校尉马贤","5","5","10"
"三年春二月","5","5","10"
"五年春二月","5","5","10"
"济南王刘康","0","10","10"
"没有来得及","0","10","10"
"步兵和骑兵","0","10","10"
"羌人各部族","0","10","10"
"月二十七日","0","10","10"
"冬十月二十","0","10","10"
"春正月初一","0","10","10"
"淮阳王刘延","0","10","10"
"皇后为皇太","0","10","10"
"后为皇太后","0","10","10"
"总领尚书事","0","10","10"
"年春正月二","0","10","10"
"年春二月十","0","10","10"
"信阳侯阴就","4","5","9"
"永平十五年","4","5","9"
"斩首千余级","7","2","9"
"食邑五千户","5","4","9"
"车骑将军何","4","5","9"
"为司隶校尉","0","9","9"
"为谏议大夫","0","9","9"
"拜为太中大","0","9","9"
"派御史中丞","0","9","9"
"匈奴派使者","0","9","9"
"中郎将来歙","0","9","9"
"荐贤良方正","0","9","9"
"汝南汝阳人","5","3","8"
"扶风茂陵人","5","3","8"
"驸马都尉耿","4","4","8"
"马都尉耿秉","4","4","8"
"太守第五伦","4","4","8"
"赐钱三十万","4","4","8"
"赐爵关内侯","5","3","8"
"游击将军邓","4","4","8"
"击将军邓隆","4","4","8"
"中常侍王甫","4","4","8"
"大将军邓骘","4","4","8"
"谏议大夫马","4","4","8"
"中郎将皇甫","4","4","8"
"大将军耿宝","4","4","8"
"大将军印绶","3","5","8"
"偏将军冯异","4","4","8"
"骑将军张温","4","4","8"
"横野大将军","4","4","8"
"使太中大夫","5","3","8"
"将军马武等","4","4","8"
"陇西南部都","4","4","8"
"西南部都尉","4","4","8"
"卫将军董承","4","4","8"
"平狄将军庞","4","4","8"
"狄将军庞萌","4","4","8"
"辅威将军臧","4","4","8"
"威将军臧宫","4","4","8"
"南阳太守成","4","4","8"
"城门校尉窦","4","4","8"
"门校尉窦武","4","4","8"
"奉车都尉窦","4","4","8"
"九年春正月","4","4","8"
"十年春正月","4","4","8"
"十三年春正","4","4","8"
"贫能存者粟","8","0","8"
"元年春三月","4","4","8"
"流民欲占者","8","0","8"
"诏郡国中都","7","1","8"
"系囚减死一","5","3","8"
"囚减死一等","5","3","8"
"平元年春正","4","4","8"
"校尉马贤讨","4","4","8"
"减天下死罪","4","4","8"
"天下死罪一","4","4","8"
"下死罪一等","4","4","8"
"髡钳城旦舂","4","4","8"
"诏令郡国中","1","7","8"
"哥哥的儿子","0","8","8"
"楚王刘英谋","0","8","8"
"王刘英谋反","0","8","8"
"勃海王刘悝","0","8","8"
"北匈奴派使","0","8","8"
"派光禄大夫","0","8","8"
"二月三十日","0","8","8"
"年春二月初","0","8","8"
"中山王刘焉","0","8","8"
"东海王刘政","0","8","8"
"举荐贤良方","0","8","8"
"前队大夫甄","3","4","7"
"队大夫甄阜","3","4","7"
"京兆长陵人","4","3","7"
"前将军邓禹","3","4","7"
"军东平王苍","5","2","7"
"赐钱二十万","3","4","7"
"司马吴汉等","4","3","7"
"长水校尉樊","3","4","7"
"贲中郎将邓","3","4","7"
"使司徒持节","4","3","7"
"广陵贼张婴","4","3","7"
"遣御史中丞","7","0","7"
"司空第五伦","3","4","7"
"州刺史刘岱","3","4","7"
"永元十二年","3","4","7"
"河南尹邓万","3","4","7"
"大司徒司直","4","3","7"
"家皆立博士","5","2","7"
"遣大司马吴","5","2","7"
"安帝永初元","3","4","7"
"帝永初元年","3","4","7"
"益州刺史张","4","3","7"
"山阳太守翟","4","3","7"
"阳太守翟超","4","3","7"
"建武三十年","2","5","7"
"车都尉窦固","4","3","7"
"年春正月癸","7","0","7"
"北匈奴遣使","7","0","7"
"二年春二月","4","3","7"
"王青盖车迎","4","3","7"
"中郎将任尚","3","4","7"
"系囚减死罪","3","4","7"
"囚减死罪一","3","4","7"
"将他们全部","0","7","7"
"推举为孝廉","0","7","7"
"为尚书仆射","0","7","7"
"为骠骑将军","0","7","7"
"同部族的人","0","7","7"
"率领南单于","0","7","7"
"杀害郡县官","0","7","7"
"害郡县官吏","0","7","7"
"好本职工作","0","7","7"
"光武帝诏令","0","7","7"
"春正月初二","0","7","7"
"祭祀十一陵","0","7","7"
"帝加冠于首","0","7","7"
"无户籍及流","0","7","7"
"国中都官对","0","7","7"
"参与总领尚","0","7","7"
"与总领尚书","0","7","7"
"先零羌寇掠","0","7","7"
"四月十一日","0","7","7"
"夏五月二十","0","7","7"
"琅笽王刘京","0","7","7"
"光禄大夫周","3","3","6"
"王莽前队大","3","3","6"
"莽前队大夫","3","3","6"
"属正梁丘赐","3","3","6"
"纳言将军严","3","3","6"
"言将军严尤","3","3","6"
