"N-gram","原文","翻译","Total"
"十九万四千九百九","7","8","15"
"九万四千九百九十","7","8","15"
"法四千五百五十九","0","15","15"
"五万六千九百五十","6","7","13"
"万六千九百五十四","6","7","13"
"三十四万四千二百","6","7","13"
"十四万四千二百六","6","7","13"
"四万四千二百六十","6","7","13"
"万四千二百六十一","6","7","13"
"二十一万五千一百","2","10","12"
"十一万五千一百三","2","10","12"
"一万五千一百三十","2","10","12"
"纪法一千八百四十","0","12","12"
"法一千八百四十三","0","12","12"
"万四千九百九十分","5","6","11"
"四千二百六十一分","5","6","11"
"日法四千五百五十","0","11","11"
"十三万四千六百三","1","9","10"
"三万四千六百三十","1","9","10"
"二万二千七百九十","3","6","9"
"万二千七百九十五","3","6","9"
"万九千六百八十三","4","4","8"
"所求年天正十一月","4","4","8"
"六千九百五十四分","4","4","8"
"六百四十一万零九","0","8","8"
"百四十一万零九百","0","8","8"
"四十一万零九百六","0","8","8"
"十一万零九百六十","0","8","8"
"一万零九百六十七","0","8","8"
"转而早晨在东方出","0","8","8"
"而早晨在东方出现","0","8","8"
"九十一天运行一百","0","8","8"
"二千零三十四万四","0","8","8"
"千零三十四万四千","0","8","8"
"一万九千六百八十","2","5","7"
"六百四十一万九百","7","0","7"
"百四十一万九百六","7","0","7"
"四十一万九百六十","7","0","7"
"十一万九百六十七","7","0","7"
"六万七千三百一十","2","5","7"
"万七千三百一十五","2","5","7"
"以纪法一千八百四","0","7","7"
"除以日法四千五百","0","7","7"
"以日法四千五百五","0","7","7"
"零三十四万四千二","0","7","7"
"汹涌大水冲入石头","0","7","7"
"青冀幽五州诸军事","3","3","6"
"元帝太兴元年四月","3","3","6"
"二千一百八十七分","3","3","6"
"九千六百八十三分","3","3","6"
"万六千二百七十二","3","3","6"
"一百七十三万三千","3","3","6"
"三百四十八万四千","3","3","6"
"百四十八万四千六","3","3","6"
"四十八万四千六百","3","3","6"
"十八万四千六百四","3","3","6"
"八万四千六百四十","3","3","6"
"万四千六百四十六","3","3","6"
"日行一度九十一分","6","0","6"
"二千三十四万四千","6","0","6"
"千三十四万四千二","6","0","6"
"孙亮建兴元年十二","3","3","6"
"亮建兴元年十二月","3","3","6"
"十三年十二月乙未","3","3","6"
"二百五十万九千九","3","3","6"
"百五十万九千九百","3","3","6"
"五十万九千九百五","3","3","6"
"十万九千九百五十","3","3","6"
"万九千九百五十六","3","3","6"
"二万五千六百二十","2","4","6"
"六十七万三千一百","1","5","6"
"十七万三千一百五","1","5","6"
"七万三千一百五十","1","5","6"
"周天二十一万五千","0","6","6"
"天二十一万五千一","0","6","6"
"天运行一百一十二","0","6","6"
"运行一百一十二度","0","6","6"
"每天运行一又九十","0","6","6"
"天运行一又九十一","0","6","6"
"运行一又九十一分","0","6","6"
"行一又九十一分之","0","6","6"
"万零九百六十七分","0","6","6"
"百七十三万三千一","3","2","5"
"七十三万三千一百","3","2","5"
"十三万三千一百四","3","2","5"
"三万三千一百四十","3","2","5"
"万三千一百四十八","3","2","5"
"一万九百六十七分","5","0","5"
"十二度十九万四千","2","3","5"
"二度十九万四千九","2","3","5"
"度十九万四千九百","2","3","5"
"琅王牙王司马德文","1","4","5"
"琅王牙王司马亻由","0","5","5"
"讨伐成都王司马颖","0","5","5"
"周法五千九百六十","0","5","5"
"法五千九百六十九","0","5","5"
"每天运行二十三分","0","5","5"
"天运行二十三分之","0","5","5"
"运行二十三分之十","0","5","5"
"通数十三万四千六","0","5","5"
"数十三万四千六百","0","5","5"
"从所在纪干支起算","0","5","5"
"大都督中外诸军事","2","2","4"
"西域戊己校尉马循","2","2","4"
"魏文帝黄初二年六","2","2","4"
"文帝黄初二年六月","2","2","4"
"怀帝永嘉元年十一","2","2","4"
"帝永嘉元年十一月","2","2","4"
"愍帝建兴四年六月","2","2","4"
"吴孙权赤乌十一年","2","2","4"
"孙权赤乌十一年二","2","2","4"
"权赤乌十一年二月","2","2","4"
"愍帝建兴二年正月","2","2","4"
"元帝太兴元年十一","2","2","4"
"帝太兴元年十一月","2","2","4"
"太兴元年十一月乙","2","2","4"
"兴元年十一月乙卯","2","2","4"
"明帝太宁元年正月","2","2","4"
"康帝建元元年八月","2","2","4"
"元兴元年八月庚子","2","2","4"
"二尺八寸四分四厘","2","2","4"
"万二千九百七十四","2","2","4"
"六千五百六十一分","2","2","4"
"十一月十五日乙巳","2","2","4"
"求年天正十一月朔","2","2","4"
"年天正十一月朔日","2","2","4"
"十六万六千二百七","2","2","4"
"六万六千二百七十","2","2","4"
"四千六百四十六分","2","2","4"
"十四万二千三百二","2","2","4"
"四万二千三百二十","2","2","4"
"万二千三百二十三","2","2","4"
"二千三百二十三分","2","2","4"
"二度三百二十三万","2","2","4"
"度三百二十三万四","2","2","4"
"三百二十三万四千","2","2","4"
"百二十三万四千六","2","2","4"
"二十三万四千六百","2","2","4"
"百四十八万九千八","2","2","4"
"四十八万九千八百","2","2","4"
"十八万九千八百六","2","2","4"
"八万九千八百六十","2","2","4"
"万九千八百六十八","2","2","4"
"九千八百六十八分","2","2","4"
"百二十四万二千八","2","2","4"
"二十四万二千八百","2","2","4"
"十四万二千八百六","2","2","4"
"四万二千八百六十","2","2","4"
"九十二日行四十八","4","0","4"
"十二日行四十八度","4","0","4"
"百一十二万二千四","2","2","4"
"一十二万二千四百","2","2","4"
"十二万二千四百二","2","2","4"
"二万二千四百二十","2","2","4"
"万二千四百二十六","2","2","4"
"万五千八百六十四","2","2","4"
"三千一百四十八分","2","2","4"
"行一度九十一分二","4","0","4"
"一度九十一分二十","4","0","4"
"九十一日行百一十","4","0","4"
"三十二度六百四十","2","2","4"
"十二度六百四十一","2","2","4"
"二度六百四十一万","2","2","4"
"小余二千四百一十","2","2","4"
"余二千四百一十九","2","2","4"
"天正十一月朔夜半","2","2","4"
"求年天正十一月合","2","2","4"
"年天正十一月合朔","2","2","4"
"一百九十九万五千","1","3","4"
"百九十九万五千六","2","2","4"
"九十九万五千六百","2","2","4"
"十九万五千六百六","2","2","4"
"九万五千六百六十","2","2","4"
"万五千六百六十四","2","2","4"
"九十九万七千八百","2","2","4"
"十九万七千八百三","2","2","4"
"九万七千八百三十","2","2","4"
"万七千八百三十二","2","2","4"
"七千八百三十二分","2","2","4"
"百七十九万五千二","2","2","4"
"七十九万五千二百","2","2","4"
"十九万五千二百三","2","2","4"
"九万五千二百三十","2","2","4"
"万五千二百三十八","2","2","4"
"五千二百三十八分","2","2","4"
"百七十九万二千六","2","2","4"
"七十九万二千六百","2","2","4"
"十九万二千六百一","2","2","4"
"九万二千六百一十","2","2","4"
"万二千六百一十五","2","2","4"
"二千六百一十五分","2","2","4"
"百二十四万九千三","2","2","4"
"二十四万九千三百","2","2","4"
"十四万九千三百四","2","2","4"
"四万九千三百四十","2","2","4"
"万九千三百四十五","2","2","4"
"九千三百四十五分","2","2","4"
"三百八十四万七千","2","2","4"
"百八十四万七千六","2","2","4"
"八十四万七千六百","2","2","4"
"十四万七千六百七","2","2","4"
"四万七千六百七十","2","2","4"
"万七千六百七十五","2","2","4"
"二度六百四十九万","2","2","4"
"度六百四十九万一","2","2","4"
"六百四十九万一千","2","2","4"
"百四十九万一千一","2","2","4"
"四十九万一千一百","2","2","4"
"十九万一千一百二","2","2","4"
"九万一千一百二十","2","2","4"
"万一千一百二十一","2","2","4"
"五十二度十九万四","2","2","4"
"魏文帝黄初七年正","2","2","4"
"文帝黄初七年正月","2","2","4"
"武帝泰始元年十二","2","2","4"
"帝泰始元年十二月","2","2","4"
"武帝泰始四年九月","2","2","4"
"孝武帝宁康元年三","2","2","4"
"武帝宁康元年三月","2","2","4"
"安帝隆安二年三月","2","2","4"
"吴孙权赤乌八年夏","2","2","4"
"武帝太康五年五月","2","2","4"
"孝武帝太元十年四","2","2","4"
"武帝太元十年四月","2","2","4"
"惠帝元康二年二月","2","2","4"
"惠帝元康五年三月","2","2","4"
"怀帝永嘉四年十月","2","2","4"
"都督陇右关中诸军","2","2","4"
"督陇右关中诸军事","2","2","4"
"九千九百五十六分","2","2","4"
"二万四千六百三十","1","3","4"
"万四千六百三十八","1","3","4"
"十二万二千七百九","2","2","4"
"十二万五千六百二","1","3","4"
"万五千六百二十一","1","3","4"
"百四十七万二千八","2","2","4"
"四十七万二千八百","2","2","4"
"十七万二千八百六","2","2","4"
"七万二千八百六十","2","2","4"
"万二千八百六十九","2","2","4"
"三百五十八万五千","2","2","4"
"百五十八万五千二","2","2","4"
"五十八万五千二百","2","2","4"
"十八万五千二百三","2","2","4"
"八万五千二百三十","2","2","4"
"六十七万五千三百","2","2","4"
"十七万五千三百六","2","2","4"
"七万五千三百六十","2","2","4"
"万五千三百六十四","2","2","4"
"五百九十六万二千","2","2","4"
"百九十六万二千二","2","2","4"
"九十六万二千二百","2","2","4"
"十六万二千二百五","2","2","4"
"六万二千二百五十","2","2","4"
"万二千二百五十六","2","2","4"
"慕容暐的将领慕容","0","4","4"
"会稽王的大儿子司","0","4","4"
"稽王的大儿子司马","0","4","4"
"琅王牙王司马道子","0","4","4"
"星南面的三颗星叫","0","4","4"
"成帝咸和二年五月","0","4","4"
