"N-gram","原文","翻译","Total"
"夏国派遣使者来","0","42","42"
"皇上对宰相大臣","0","38","38"
"上对宰相大臣说","0","35","35"
"派遣使者来祝贺","0","24","24"
"太白金星白天显","0","22","22"
"白金星白天显现","0","22","22"
"同中书门下平章","10","10","20"
"中书门下平章事","10","10","20"
"国派遣使者来祝","0","19","19"
"派遣使者来朝贺","0","19","19"
"右副元帅完颜谋","9","9","18"
"副元帅完颜谋衍","9","9","18"
"国派遣使者来朝","0","18","18"
"副元帅纥石烈志","6","8","14"
"元帅纥石烈志宁","6","8","14"
"丞相纥石烈良弼","7","7","14"
"国派遣使者前来","0","13","13"
"元帅右都监完颜","6","6","12"
"领行台尚书省事","0","11","11"
"夏国派遣使者前","0","11","11"
"国分别派遣使者","0","11","11"
"元帅右监军完颜","5","5","10"
"枢密使仆散忽土","5","5","10"
"左副元帅纥石烈","4","6","10"
"右丞相仆散忠义","5","5","10"
"左丞相纥石烈良","5","5","10"
"左谏议大夫张行","5","5","10"
"谏议大夫张行信","5","5","10"
"左宣徽使敬嗣晖","5","4","9"
"加开府仪同三司","8","1","9"
"谙班勃极烈吴乞","4","5","9"
"班勃极烈吴乞买","4","5","9"
"右都监完颜思敬","4","5","9"
"议大夫张行信上","5","4","9"
"右丞相兼中书令","0","9","9"
"派遣使者前来祝","0","9","9"
"遣使者前来祝贺","0","9","9"
"分别派遣使者前","0","9","9"
"别派遣使者前来","0","9","9"
"夏国分别派遣使","0","9","9"
"耨碗温敦思忠说","0","9","9"
"唐括安礼回答说","0","9","9"
"招抚副使黄掴阿","5","3","8"
"抚副使黄掴阿鲁","5","3","8"
"副使黄掴阿鲁答","5","3","8"
"尚书右丞纥石烈","4","4","8"
"书右丞纥石烈良","4","4","8"
"右丞纥石烈良弼","4","4","8"
"元帅左监军必兰","4","4","8"
"武卫军都指挥使","4","4","8"
"山东西路转运使","4","4","8"
"东路兵马都总管","4","4","8"
"平章政事仆散揆","4","4","8"
"秦晋国王耶律捏","4","4","8"
"晋国王耶律捏里","4","4","8"
"知枢密院事刘彦","4","4","8"
