"N-gram","原文","翻译","Total"
"皇上亲自审查并记录囚","0","14","14"
"本官同中书门下平章事","12","0","12"
"上亲自审查并记录囚徒","0","12","12"
"依旧任同中书门下三品","0","11","11"
"亲自审查并记录囚徒罪","0","10","10"
"自审查并记录囚徒罪状","0","10","10"
"审查并记录囚徒的罪状","0","9","9"
"兼任较低职务的度支使","0","9","9"
"博学宏词科考试选拔人","0","9","9"
"学宏词科考试选拔人才","0","9","9"
"二年春正月一日是朔日","0","8","8"
"主持博学宏词科考试选","0","8","8"
"持博学宏词科考试选拔","0","8","8"
"检校扬州大都督府长史","4","3","7"
"河中晋绛慈隰等州节度","4","3","7"
"中晋绛慈隰等州节度使","4","3","7"
"都任同中书门下平章事","0","7","7"
"都任同凤阁鸾台平章事","0","7","7"
"三年春正月一日是朔日","0","7","7"
"亲自审查并记录囚徒的","0","7","7"
"自审查并记录囚徒的罪","0","7","7"
"高宗天皇大圣大弘孝皇","3","3","6"
"宗天皇大圣大弘孝皇帝","3","3","6"
"中书门下平章事的职衔","0","6","6"
"兼任潞州大都督府长史","0","6","6"
"左玉钤卫大将军李孝逸","3","2","5"
"剑南西川节度行军司马","3","2","5"
"同中书门下平章事的职","0","5","5"
"开元天地大宝圣文神武","2","2","4"
"睿宗玄真大圣大兴孝皇","2","2","4"
"宗玄真大圣大兴孝皇帝","2","2","4"
"祠部郎中知制诰张茂枢","2","2","4"
"同中书门下三品郝处俊","2","2","4"
"同中书门下三品李敬玄","2","2","4"
"工部尚书刘审礼等十二","2","2","4"
"部尚书刘审礼等十二总","2","2","4"
"尚书刘审礼等十二总管","2","2","4"
"大都护府突厥阿史德温","2","2","4"
"都护府突厥阿史德温傅","2","2","4"
"同中书门下同承受进止","2","2","4"
"中书门下同承受进止平","2","2","4"
"书门下同承受进止平章","2","2","4"
"门下同承受进止平章事","2","2","4"
"右武威卫大将军沙吒忠","2","2","4"
"武威卫大将军沙吒忠义","2","2","4"
"文明武德大圣大宣孝皇","2","2","4"
"明武德大圣大宣孝皇帝","2","2","4"
"节度管内观察处置等使","4","0","4"
"镇冀深赵等州观察处置","2","2","4"
"南东道节度观察处置等","4","0","4"
"东道节度观察处置等使","4","0","4"
"充剑南西川节度副大使","4","0","4"
"统押近界诸蛮西山八国","4","0","4"
"西山八国云南安抚等使","3","1","4"
"平昌县公宇文节加银青","2","2","4"
"昌县公宇文节加银青光","2","2","4"
"县公宇文节加银青光禄","2","2","4"
"公宇文节加银青光禄大","2","2","4"
"宇文节加银青光禄大夫","2","2","4"
"苏定方攻破西突厥沙钵","2","2","4"
"定方攻破西突厥沙钵罗","2","2","4"
"太子右中护检校西台侍","2","2","4"
"子右中护检校西台侍郎","2","2","4"
"右中护检校西台侍郎乐","2","2","4"
"中护检校西台侍郎乐彦","2","2","4"
"护检校西台侍郎乐彦玮","2","2","4"
"永安郡公姜恪同东西台","2","2","4"
"安郡公姜恪同东西台三","2","2","4"
"郡公姜恪同东西台三品","2","2","4"
"宣武军节度副大使知节","2","2","4"
"武军节度副大使知节度","2","2","4"
"军节度副大使知节度事","2","2","4"
"广州都督府长史唐奉义","2","2","4"
"检校益州大都督府长史","2","2","4"
"吐谷浑河源郡王慕容诺","2","2","4"
"谷浑河源郡王慕容诺曷","2","2","4"
"浑河源郡王慕容诺曷钵","2","2","4"
"希烈同中书门下平章事","2","2","4"
"蔡州四面行营兵马都统","2","2","4"
"圣文睿德光武弘孝皇帝","2","2","4"
"改万年宫依旧名九成宫","2","2","4"
"三十六万七千六百九十","2","2","4"
"十六万七千六百九十户","2","2","4"
"屋一万四千三百九十区","2","2","4"
"同中书门下三品刘仁轨","2","2","4"
"中书侍郎李义琰同中书","2","2","4"
"书侍郎李义琰同中书门","2","2","4"
"侍郎李义琰同中书门下","2","2","4"
"郎李义琰同中书门下三","2","2","4"
"李义琰同中书门下三品","2","2","4"
"黄门侍郎高智周同中书","2","2","4"
"门侍郎高智周同中书门","2","2","4"
"侍郎高智周同中书门下","2","2","4"
"郎高智周同中书门下三","2","2","4"
"高智周同中书门下三品","2","2","4"
"洮河道行军大总管中书","2","2","4"
"河道行军大总管中书令","2","2","4"
"道行军大总管中书令李","2","2","4"
"行军大总管中书令李敬","2","2","4"
"军大总管中书令李敬玄","2","2","4"
"侍臣中书舍人郭正一等","2","2","4"
"逍遥谷道士潘师正所居","2","2","4"
"同中书门下三品张大安","2","2","4"
"裴行俭大破突厥史伏念","2","2","4"
"乾元大圣光天文武孝感","2","2","4"
"山南东道节度使牛元翼","2","2","4"
"四镇北庭行军泾原节度","3","1","4"
"镇北庭行军泾原节度使","3","1","4"
"欠一百五十万五千七百","2","2","4"
"幽州卢龙军节度副大使","2","2","4"
"右金吾卫大将军范希朝","2","2","4"
"开府仪同三司同中书门","2","2","4"
"府仪同三司同中书门下","2","2","4"
"仪同三司同中书门下三","2","2","4"
"同三司同中书门下三品","2","2","4"
"扬州都督府长史房仁裕","2","2","4"
"黄门侍郎颍川县公韩瑗","2","2","4"
"卢国公程知节等五将军","2","2","4"
"淄州高苑县吴文威妻魏","2","2","4"
"州高苑县吴文威妻魏氏","2","2","4"
"高苑县吴文威妻魏氏一","2","2","4"
"贺鲁所部歌逻禄获剌颉","2","2","4"
"鲁所部歌逻禄获剌颉发","2","2","4"
"右屯卫将军苏定方等四","2","2","4"
"同中书门下三品卢承庆","2","2","4"
"四万四千六百四十六人","2","2","4"
"司礼少常伯孙茂道奏称","2","2","4"
"西台侍郎上官仪同东西","2","2","4"
"台侍郎上官仪同东西台","2","2","4"
"左武卫大将军郑仁泰等","2","2","4"
"太子左庶子刘仁轨同中","2","2","4"
"子左庶子刘仁轨同中书","2","2","4"
"左庶子刘仁轨同中书门","2","2","4"
"庶子刘仁轨同中书门下","2","2","4"
"子刘仁轨同中书门下三","2","2","4"
"刘仁轨同中书门下三品","2","2","4"
"将军赵孝祖大破白水蛮","2","2","4"
"军赵孝祖大破白水蛮大","2","2","4"
