"N-gram","原文","翻译","Total"
"军都指挥使","122","124","246"
"步军都指挥","63","67","130"
"河阳节度使","32","35","67"
"马军都指挥","35","29","64"
"州节度使王","31","31","62"
"州节度使李","27","33","60"
"武军节度使","26","33","59"
"河中节度使","27","30","57"
"马步军都指","29","25","54"
"滑州节度使","23","26","49"
"潞州节度使","22","22","44"
"北面招讨使","20","22","42"
"开府仪同三","21","21","42"
"徐州节度使","21","21","42"
"加封检校太","0","42","42"
"许州节度使","21","20","41"
"义军节度使","19","22","41"
"府仪同三司","20","21","41"
"邢州节度使","20","20","40"
"侍卫马军都","22","17","39"
"卫马军都指","22","17","39"
"河东节度使","20","18","38"
"州节度使安","19","19","38"
"平军节度使","18","20","38"
"行营都部署","19","19","38"
"行营招讨使","18","19","37"
"同州节度使","17","19","36"
"天平军节度","17","19","36"
"马步都虞候","20","14","34"
"卫步军都指","18","16","34"
"侍卫步军都","17","16","33"
"州节度使刘","14","17","31"
"天雄军节度","16","15","31"
"都指挥使李","16","15","31"
"面行营招讨","15","15","30"
"左散骑常侍","15","15","30"
"雄军节度使","15","15","30"
"端明殿学士","15","15","30"
"侍卫亲军都","15","15","30"
"加检校太傅","26","3","29"
"宋州节度使","14","15","29"
"左谏议大夫","15","14","29"
"镇州节度使","14","15","29"
"州节度使张","14","14","28"
"宣徽南院使","14","14","28"
"卫亲军都指","14","14","28"
"亲军都指挥","14","14","28"
"澶州节度使","14","14","28"
"枢密使郭威","14","14","28"
"青州节度使","13","14","27"
"定州节度使","13","14","27"
"月二十七日","10","17","27"
"国军节度使","12","14","26"
"军节度使李","12","14","26"
"州节度使杨","13","13","26"
"德军节度使","13","13","26"
"陕州节度使","12","13","25"
"昭义节度使","14","11","25"
"节度使李存","10","15","25"
"厢都指挥使","13","12","25"
"宣武军节度","12","12","24"
"北面行营招","12","12","24"
"加同平章事","20","4","24"
"节度使李嗣","12","12","24"
"汴州节度使","12","12","24"
"今上赵匡胤","0","24","24"
"昭义军节度","10","13","23"
"军节度副使","12","11","23"
"华州节度使","11","12","23"
"左卫上将军","12","11","23"
"侍卫亲军马","12","11","23"
"军马步军都","12","11","23"
"加封为检校","0","23","23"
"齐州防御使","11","11","22"
"相州节度使","11","11","22"
"卫亲军马步","12","10","22"
"振武节度使","14","8","22"
"郓州节度使","11","11","22"
"郑州防御使","11","11","22"
"沧州节度使","11","10","21"
"行营都招讨","11","10","21"
"加检校太尉","20","1","21"
"亲军马步军","11","10","21"
"天下兵马都","11","10","21"
"枢密使郭崇","10","11","21"
"密使郭崇韬","10","11","21"
"兵马都元帅","11","10","21"
"魏王李继岌","0","21","21"
"河南尹张全","10","10","20"
"南尹张全义","10","10","20"
"海军节度使","8","12","20"
"魏博节度使","9","11","20"
"金紫光禄大","10","10","20"
"紫光禄大夫","10","10","20"
"加食邑实封","10","10","20"
"卫都指挥使","10","10","20"
"宣徽北院使","10","10","20"
"银青光禄大","10","10","20"
"青光禄大夫","10","10","20"
"右神武统军","10","10","20"
"帝御崇元殿","20","0","20"
"加检校太保","18","1","19"
"宰相豆卢革","8","11","19"
"节度使马希","9","10","19"
"下兵马都元","10","9","19"
"枢密使王峻","9","10","19"
"十二月一日","1","18","19"
"派使者进贡","0","19","19"
"崇元殿接受","0","19","19"
"月二十一日","6","12","18"
"二年春正月","12","6","18"
"右谏议大夫","9","9","18"
"检校左仆射","9","9","18"
"检校工部尚","9","9","18"
"校工部尚书","9","9","18"
"右卫上将军","9","9","18"
"内都指挥使","9","9","18"
"监军张承业","9","9","18"
"凤翔节度使","9","9","18"
"文馆大学士","9","9","18"
"步军都虞候","6","12","18"
"中书门下平","9","9","18"
"书门下平章","9","9","18"
"门下平章事","9","9","18"
"湖南节度使","9","9","18"
"金吾上将军","9","8","17"
"营都招讨使","9","8","17"
"检校右仆射","9","8","17"
"云州节度使","8","9","17"
"月二十四日","8","9","17"
"遣使贡方物","17","0","17"
"御崇元殿受","17","0","17"
"殿接受朝贺","0","17","17"
"襄州节度使","8","8","16"
"泾州节度使","7","9","16"
"兗州节度使","16","0","16"
"右散骑常侍","8","8","16"
"邓州节度使","8","8","16"
"北面行营都","8","8","16"
"翰林学士承","8","8","16"
"林学士承旨","8","8","16"
"荆南节度使","8","8","16"
"晋州节度使","8","8","16"
"都指挥使张","8","8","16"
"卫上将军李","8","8","16"
"马步军都虞","6","10","16"
"同中书门下","8","8","16"
"崇元殿受朝","16","0","16"
"州节度使马","8","8","16"
"州行营都部","8","8","16"
"吴越国王钱","8","8","16"
"为检校太尉","0","16","16"
"十一月一日","0","16","16"
"兖州节度使","0","16","16"
"马军步军都","0","16","16"
"元殿接受朝","0","16","16"
"中节度使王","7","8","15"
"食邑三千户","9","6","15"
"镇海军节度","7","8","15"
"节度副大使","8","7","15"
"平卢军节度","7","8","15"
"月二十九日","6","9","15"
"凤翔李茂贞","6","9","15"
"马步都指挥","12","3","15"
"步都指挥使","12","3","15"
"行营马步军","8","7","15"
"月二十五日","5","10","15"
"中书门下上","4","11","15"
"六军诸卫事","9","6","15"
"客省使李严","8","7","15"
"蕃汉马步军","3","12","15"
"军总指挥使","0","15","15"
"停止上朝三","0","15","15"
"止上朝三天","0","15","15"
"封为检校太","0","15","15"
"行营副招讨","7","7","14"
"州节度使高","7","7","14"
"幽州节度使","7","7","14"
"等军节度使","6","8","14"
"忠武军节度","7","7","14"
"节度使王彦","7","7","14"
"加检校司徒","14","0","14"
"军节度使王","7","7","14"
"幽州刘仁恭","7","7","14"
"左骁卫上将","7","7","14"
"加检校太师","12","2","14"
"节度使杨光","7","7","14"
