"N-gram","原文","翻译","Total"
"派遣使者贡奉地方特产","0","32","32"
"国派遣使者贡奉地方特","0","19","19"
"派遣使者进献本土物产","0","17","17"
"国派遣使者进献本土物","0","9","9"
"郢州竟陵司州随郡诸军","6","0","6"
"州竟陵司州随郡诸军事","6","0","6"
"各自派遣使者贡奉地方","0","6","6"
"自派遣使者贡奉地方特","0","6","6"
"派遣使者前来通问修好","0","6","6"
"北秦四州郢州竟陵司州","5","0","5"
"秦四州郢州竟陵司州随","5","0","5"
"四州郢州竟陵司州随郡","5","0","5"
"州郢州竟陵司州随郡诸","5","0","5"
"对任孝悌力田的农官赐","0","5","5"
"任孝悌力田的农官赐爵","0","5","5"
"魏国派遣使者前来通问","0","5","5"
"国派遣使者前来通问修","0","5","5"
"派遣使者进献当地特产","0","5","5"
"北益州刺史阴平王杨法","2","2","4"
"益州刺史阴平王杨法深","2","2","4"
"南徐州刺史临川王正义","2","2","4"
"东扬州刺史临成公大连","3","1","4"
"国各自派遣使者进献本","0","4","4"
"国各自派遣使者贡奉地","0","4","4"
"芮芮国派遣使者贡奉地","0","4","4"
"芮国派遣使者贡奉地方","0","4","4"
"孝悌力田的农官赐爵位","0","4","4"
"悌力田的农官赐爵位一","0","4","4"
"力田的农官赐爵位一级","0","4","4"
"南国派遣使者贡奉地方","0","4","4"
"有像树木那样的物质实","0","4","4"
"像树木那样的物质实体","0","4","4"
"开府仪同三司南平王伟","3","0","3"
"冀二州刺史湘潭侯萧退","1","2","3"
"北徐州刺史封山侯正表","2","1","3"
"豫州刺史贞阳侯萧渊明","1","2","3"
"各自派遣使者进献本土","0","3","3"
"自派遣使者进献本土物","0","3","3"
"玺派遣使者贡奉地方特","0","3","3"
"王派遣使者贡奉地方特","0","3","3"
"南兖州刺史豫章王萧综","0","3","3"
"盘盘国派遣使者贡奉地","0","3","3"
"盘国派遣使者贡奉地方","0","3","3"
"对全国已判罪犯减刑或","0","3","3"
"全国已判罪犯减刑或免","0","3","3"
"国已判罪犯减刑或免刑","0","3","3"
"都督扬南徐二州诸军事","0","3","3"
"又有不同于树木的知觉","0","3","3"
"派遣使者献纳当地特产","0","3","3"
"国王派遣使者呈奉表章","0","3","3"
"王派遣使者呈奉表章说","0","3","3"
"巴陵王南中郎法曹行参","1","1","2"
"陵王南中郎法曹行参军","1","1","2"
"竟陵内史曹景宗等二十","1","1","2"
"征虏将军王珍国率军主","1","1","2"
"虏将军王珍国率军主胡","1","1","2"
"将军王珍国率军主胡虎","1","1","2"
"军王珍国率军主胡虎牙","1","1","2"
"王珍国率军主胡虎牙等","1","1","2"
"相国左长史王莹等率百","1","1","2"
"齐百官豫章王元琳等八","1","1","2"
"百官豫章王元琳等八百","1","1","2"
"官豫章王元琳等八百一","1","1","2"
"豫章王元琳等八百一十","1","1","2"
"章王元琳等八百一十九","1","1","2"
"王元琳等八百一十九人","1","1","2"
"车骑将军夏侯详等十五","1","1","2"
"骑将军夏侯详等十五人","1","1","2"
"车骑将军高句骊王高云","1","1","2"
"骑将军高句骊王高云进","1","1","2"
"镇西将军河南王吐谷浑","1","1","2"
"西将军河南王吐谷浑休","1","1","2"
"将军河南王吐谷浑休留","1","1","2"
"军河南王吐谷浑休留代","1","1","2"
"河南王吐谷浑休留代进","1","1","2"
"义州刺史文僧明州叛入","2","0","2"
"州刺史文僧明州叛入魏","2","0","2"
"开府仪同三司袁昂中书","2","0","2"
"府仪同三司袁昂中书监","2","0","2"
