"N-gram","原文","翻译","Total"
"同知南院枢密使事耶律","4","5","9"
"汉人行宫都部署王继忠","3","3","6"
"吴越王派使者前来进贡","0","5","5"
"南唐派使者奉上蜡丸书","0","5","5"
"唐派使者奉上蜡丸书信","0","5","5"
"唐卢龙军节度使赵德钧","2","2","4"
"仁昭烈崇简应天皇太后","2","2","4"
"政事门下平章事萧道宁","2","2","4"
"率群臣上皇太后尊号曰","4","0","4"
"睿德神略应运启化承天","2","2","4"
"德神略应运启化承天皇","2","2","4"
"神略应运启化承天皇太","2","2","4"
"略应运启化承天皇太后","2","2","4"
"推忠效顺启圣定难功臣","2","2","4"
"大丞相晋国王耶律隆运","2","2","4"
"沙州回鹘敦煌郡王曹顺","2","2","4"
"北院承旨耶律庶成持诏","2","2","4"
"同知析津府事耶律敌烈","2","2","4"
"知北院枢密使事耶律阿","2","2","4"
"北院枢密使事耶律阿思","2","2","4"
"山北路副部署萧阿鲁带","2","2","4"
"乌古部节度使耶律陈家","2","2","4"
"古部节度使耶律陈家奴","2","2","4"
"汉人行宫都部署赵孝严","2","2","4"
"知右夷离毕事萧药师奴","2","2","4"
"护卫太保耶律查剌诬告","2","2","4"
"北院枢密副使耶律仁先","2","2","4"
"淳钦皇后弟阿古五世孙","4","0","4"
"以契丹行宫都部署耶律","0","4","4"
"以同知南院枢密使事耶","0","4","4"
"迭烈部夷离堇耶律曷鲁","1","2","3"
"帝率群臣上皇太后尊号","3","0","3"
"参知政事同知枢密院事","3","0","3"
"乌古敌烈统军使萧朽哥","1","2","3"
"唐义武军节度使王处直","1","2","3"
"文惠孝敬广爱宗天皇太","1","2","3"
"惠孝敬广爱宗天皇太后","1","2","3"
"有司请求以皇上生日作","0","3","3"
"司请求以皇上生日作为","0","3","3"
"鼻骨德派使者前来进贡","0","3","3"
"回鹘阿萨兰派使者前来","0","3","3"
"群臣给皇太后上尊号为","0","3","3"
"以知北院枢密使事耶律","0","3","3"
"以南府宰相斡特剌兼任","0","3","3"
"太祖大圣大明神烈天皇","1","1","2"
"祖大圣大明神烈天皇帝","1","1","2"
"契丹迭剌部霞濑益石烈","1","1","2"
"遣北宰相迪辇率骁骑先","1","1","2"
"烈部夷离堇耶律曷鲁等","1","1","2"
"部夷离堇耶律曷鲁等率","1","1","2"
"夷离堇耶律曷鲁等率百","1","1","2"
"上尊号曰大圣大明天皇","1","1","2"
"尊号曰大圣大明天皇帝","1","1","2"
"皇太子率迭剌部夷离堇","1","1","2"
"获甘州回鹘都督毕离遏","1","1","2"
"人皇王率东丹国僚属辞","1","1","2"
"左威卫上将军撒割率兵","1","1","2"
"阅降将赵德钧父子兵马","1","1","2"
"唐大同军节度判官吴峦","1","1","2"
"大同军节度判官吴峦闭","1","1","2"
"同军节度判官吴峦闭城","1","1","2"
"军节度判官吴峦闭城拒","1","1","2"
"晋天雄军节度使范延广","1","1","2"
"中台省右相耶律述兰迭","1","1","2"
"台省右相耶律述兰迭烈","1","1","2"
"省右相耶律述兰迭烈哥","1","1","2"
"上尊号曰广德仁昭烈崇","2","0","2"
"尊号曰广德仁昭烈崇简","2","0","2"
"号曰广德仁昭烈崇简应","2","0","2"
"曰广德仁昭烈崇简应天","2","0","2"
"广德仁昭烈崇简应天皇","2","0","2"
"德仁昭烈崇简应天皇太","2","0","2"
"睿文神武法天启运明德","1","1","2"
"文神武法天启运明德章","1","1","2"
"神武法天启运明德章信","1","1","2"
"命惕隐耶律涅离骨德率","1","1","2"
"北王府郎君耶律海思应","1","1","2"
"王府郎君耶律海思应诏","1","1","2"
"河东节度使刘知远送叛","1","1","2"
"东节度使刘知远送叛臣","1","1","2"
"节度使刘知远送叛臣乌","1","1","2"
"度使刘知远送叛臣乌古","1","1","2"
"使刘知远送叛臣乌古指","1","1","2"
"刘知远送叛臣乌古指挥","1","1","2"
"知远送叛臣乌古指挥使","1","1","2"
"晋平卢军节度使杨光远","1","1","2"
