"N-gram","原文","翻译","Total"
"礼部尚书兼东阁大学士","0","26","26"
"兵部右侍郎右佥都御史","20","0","20"
"为礼部尚书兼东阁大学","0","20","20"
"部右侍郎兼右佥都御史","0","20","20"
"兵部右侍郎兼右佥都御","0","18","18"
"开国辅运推诚宣力武臣","8","8","16"
"部尚书兼文渊阁大学士","0","14","14"
"进士及第以及其他不同","0","13","13"
"为兵部右侍郎兼右佥都","0","12","12"
"礼部尚书文渊阁大学士","10","0","10"
"礼部尚书兼文渊阁大学","0","10","10"
"入值文渊阁参与机要事","0","10","10"
"值文渊阁参与机要事务","0","10","10"
"总督军务威武大将军总","5","4","9"
"督军务威武大将军总兵","5","4","9"
"军务威武大将军总兵官","5","4","9"
"为进士及第以及其他不","0","9","9"
"一万四千八百二十三度","4","4","8"
"万四千八百二十三度零","4","4","8"
"四千八百二十三度零六","4","4","8"
"士及第以及其他不同的","0","8","8"
"及第以及其他不同的出","0","8","8"
"第以及其他不同的出身","0","8","8"
"俱礼部尚书东阁大学士","7","0","7"
"嵌有花纹的铜质叶片装","0","7","7"
"口里衔着珍珠装饰的结","0","7","7"
"等人为进士及第以及其","0","7","7"
"人为进士及第以及其他","0","7","7"
"为开国辅运推诚宣力武","0","7","7"
"开天行道肇纪立极大圣","3","3","6"
"神仁文义武俊德成功高","3","3","6"
"仁文义武俊德成功高皇","3","3","6"
"文义武俊德成功高皇帝","3","3","6"
"奉天靖难推诚宣力武臣","3","3","6"
"为礼部尚书兼文渊阁大","0","6","6"
"用穿红色服饰的甲士五","0","6","6"
"穿红色服饰的甲士五人","0","6","6"
"有花纹的铜质叶片装钉","0","6","6"
"运圣武神功纯仁孝文皇","5","0","5"
"圣武神功纯仁孝文皇帝","5","0","5"
"启天弘道高明肇运圣武","3","2","5"
"天弘道高明肇运圣武神","3","2","5"
"弘道高明肇运圣武神功","3","2","5"
"道高明肇运圣武神功纯","3","2","5"
"高明肇运圣武神功纯仁","3","2","5"
"务威武大将军总兵官朱","3","2","5"
"威武大将军总兵官朱寿","3","2","5"
"授开国辅运推诚宣力武","5","0","5"
"兵部尚书兼东阁大学士","0","5","5"
"右都御史兼兵部右侍郎","0","5","5"
"部左侍郎兼东阁大学士","0","5","5"
"旗用穿红色服饰的甲士","0","5","5"
"用穿青色服饰的甲士五","0","5","5"
"用抹金的嵌有花纹的铜","0","5","5"
"抹金的嵌有花纹的铜质","0","5","5"
"金的嵌有花纹的铜质叶","0","5","5"
"的嵌有花纹的铜质叶片","0","5","5"
"有野鸡羽毛图纹的衣服","0","5","5"
"士及第以及其他不同出","0","5","5"
"及第以及其他不同出身","0","5","5"
"授为开国辅运推诚宣力","0","5","5"
"体天弘道高明广运圣武","2","2","4"
"天弘道高明广运圣武神","2","2","4"
"弘道高明广运圣武神功","2","2","4"
"道高明广运圣武神功纯","2","2","4"
"高明广运圣武神功纯仁","2","2","4"
"羽林十七卫亲军指挥使","2","2","4"
"林十七卫亲军指挥使司","2","2","4"
"太祖开天行道肇纪立极","2","2","4"
"祖开天行道肇纪立极大","2","2","4"
"圣神文武钦明启运俊德","2","2","4"
"神文武钦明启运俊德成","2","2","4"
"文武钦明启运俊德成功","2","2","4"
"武钦明启运俊德成功统","2","2","4"
"钦明启运俊德成功统天","2","2","4"
"明启运俊德成功统天大","2","2","4"
"启运俊德成功统天大孝","2","2","4"
"运俊德成功统天大孝高","2","2","4"
"俊德成功统天大孝高皇","2","2","4"
"德成功统天大孝高皇帝","2","2","4"
"巡抚保定都御史杨守谦","2","2","4"
"进兵部右侍郎右佥都御","4","0","4"
"恭睿渊仁宽穆纯圣献皇","2","2","4"
"睿渊仁宽穆纯圣献皇帝","2","2","4"
"知天守道洪德渊仁宽穆","2","2","4"
"天守道洪德渊仁宽穆纯","2","2","4"
"守道洪德渊仁宽穆纯圣","2","2","4"
"道洪德渊仁宽穆纯圣恭","2","2","4"
"洪德渊仁宽穆纯圣恭俭","2","2","4"
"德渊仁宽穆纯圣恭俭敬","2","2","4"
"渊仁宽穆纯圣恭俭敬文","2","2","4"
"仁宽穆纯圣恭俭敬文献","2","2","4"
"宽穆纯圣恭俭敬文献皇","2","2","4"
"穆纯圣恭俭敬文献皇帝","2","2","4"
"兵部尚书张经总督军务","2","2","4"
"仁文德承天顺圣高皇后","2","2","4"
"孝慈贞化哲顺仁徽成天","2","2","4"
"慈贞化哲顺仁徽成天育","2","2","4"
"贞化哲顺仁徽成天育圣","2","2","4"
"千八百二十三度零六分","2","2","4"
"八百二十三度零六分二","2","2","4"
"上廉一万四千八百二十","2","2","4"
"廉一万四千八百二十三","2","2","4"
"千八百二十三度零六二","2","2","4"
"八百二十三度零六二五","2","2","4"
"余二百四十三度四九九","2","2","4"
"半径六十零度八十七分","4","0","4"
"二度五十一分八十一秒","2","2","4"
"半弧弦二十三度七十一","2","2","4"
"弧弦二十三度七十一分","2","2","4"
"十七度二十五分六十九","1","3","4"
"七度二十五分六十九秒","1","3","4"
"以右佥都御史身份巡抚","0","4","4"
"运圣武神功纯仁至孝文","0","4","4"
"圣武神功纯仁至孝文皇","0","4","4"
"武神功纯仁至孝文皇帝","0","4","4"
"右佥都御史的身份巡抚","0","4","4"
"荫封他的一个儿子做官","0","4","4"
"他为礼部尚书兼东阁大","0","4","4"
"任礼部尚书兼东阁大学","0","4","4"
"阁大学士参与机要事务","0","4","4"
"为本生皇考恭穆献皇帝","0","4","4"
"足以失去人心而导致危","0","4","4"
"以失去人心而导致危乱","0","4","4"
"失去人心而导致危乱发","0","4","4"
"去人心而导致危乱发生","0","4","4"
"向朝廷献贡马表示谢恩","0","4","4"
"兵部尚书兼右副都御史","0","4","4"
"被提升为代理都督佥事","0","4","4"
"被提升为代理都指挥佥","0","4","4"
"提升为代理都指挥佥事","0","4","4"
"接引宾客的人进入报告","0","4","4"
"次还祭于殡宫的虞祭礼","0","4","4"
"穿青色服饰的甲士五人","0","4","4"
"旗用穿青色服饰的甲士","0","4","4"
"黑色角质材料装饰的带","0","4","4"
"等人以进士及第和其他","0","4","4"
"人以进士及第和其他不","0","4","4"
"以进士及第和其他不同","0","4","4"
"进士及第和其他不同的","0","4","4"
"士及第和其他不同的出","0","4","4"
"及第和其他不同的出身","0","4","4"
"礼部尚书兼任东阁大学","0","4","4"
"部尚书兼任东阁大学士","0","4","4"
"入文渊阁参与机要事务","0","4","4"
"被授为开国辅运推诚宣","0","4","4"
"仙法主玄元道德哲慧圣","2","1","3"
"置施州卫军民指挥使司","2","1","3"
"等处地方提督军务一员","2","1","3"
"天行道肇纪立极大圣神","3","0","3"
"行道肇纪立极大圣神仁","3","0","3"
"道肇纪立极大圣神仁文","3","0","3"
"肇纪立极大圣神仁文义","3","0","3"
"纪立极大圣神仁文义武","3","0","3"
"立极大圣神仁文义武俊","3","0","3"
"极大圣神仁文义武俊德","3","0","3"
"大圣神仁文义武俊德成","3","0","3"
"圣神仁文义武俊德成功","3","0","3"
"明肇运圣武神功纯仁孝","3","0","3"
"肇运圣武神功纯仁孝文","3","0","3"
"成祖启天弘道高明肇运","2","1","3"
"祖启天弘道高明肇运圣","2","1","3"
"永顺等处军民宣慰使司","1","2","3"
"兵部右侍郎右副都御史","3","0","3"
"吏部左侍郎东阁大学士","3","0","3"
"进右都御史兵部右侍郎","3","0","3"
"吏部尚书文渊阁大学士","3","0","3"
"文渊阁大学士入参机务","3","0","3"
"授奉天靖难推诚宣力武","3","0","3"
"文渊阁大学士参预机务","3","0","3"
"武英殿大学士入参机务","3","0","3"
"设北京留守行后军都督","2","1","3"
"北京留守行后军都督府","2","1","3"
"沉香色描金香草板十二","3","0","3"
"香色描金香草板十二片","3","0","3"
"俱抹金铜鈒花叶片装钉","3","0","3"
"绢彩画胸背方花小袖单","2","1","3"
"彩画胸背方花小袖单袍","2","1","3"
"称总督军务威武大将军","2","1","3"
"论功授开国辅运推诚宣","3","0","3"
"功授开国辅运推诚宣力","3","0","3"
"擢兵部右侍郎右佥都御","3","0","3"
"一百二十一度七十五分","1","2","3"
"赤道大股五十六度零二","2","1","3"
"百二十三度零六分二十","1","2","3"
"二十三度零六分二十五","1","2","3"
"十三度零六分二十五秒","1","2","3"
"置半径六十零度八十七","3","0","3"
"赤道大弦六十零度八七","3","0","3"
"道大弦六十零度八七五","3","0","3"
"天行道肇纪立极大圣至","0","3","3"
"行道肇纪立极大圣至神","0","3","3"
"道肇纪立极大圣至神仁","0","3","3"
"肇纪立极大圣至神仁文","0","3","3"
"纪立极大圣至神仁文义","0","3","3"
"立极大圣至神仁文义武","0","3","3"
"极大圣至神仁文义武俊","0","3","3"
"大圣至神仁文义武俊德","0","3","3"
"圣至神仁文义武俊德成","0","3","3"
"至神仁文义武俊德成功","0","3","3"
"地区没有汉化的番族人","0","3","3"
"向朝廷进献马匹和土产","0","3","3"
"加封为少师兼太子太师","0","3","3"
"以右佥都御史的身份巡","0","3","3"
"以都督佥事的身份充任","0","3","3"
"为兵部尚书兼东阁大学","0","3","3"
"不久提升为右佥都御史","0","3","3"
"为右都御史兼兵部右侍","0","3","3"
"兵部右侍郎兼右副都御","0","3","3"
"部右侍郎兼右副都御史","0","3","3"
"吏部左侍郎兼东阁大学","0","3","3"
"部尚书兼武英殿大学士","0","3","3"
