"N-gram","原文","翻译","Total"
"开府仪同三司","30","35","65"
"金紫光禄大夫","16","19","35"
"尚书令徐孝嗣","9","9","18"
"金星白天出现","0","15","15"
"火星顺行进入","0","15","15"
"南秦二州刺史","8","6","14"
"南兖兖徐青冀","9","5","14"
"兖兖徐青冀五","9","5","14"
"兖徐青冀五州","9","5","14"
"星白天出现在","0","14","14"
"白天出现在午","0","14","14"
"天出现在午位","0","14","14"
"金星顺行进入","0","14","14"
"督南兖兖徐青","8","4","12"
"竟陵王萧子良","0","12","12"
"始安王萧遥光","0","12","12"
"进入井宿的空","0","12","12"
"出现在午位上","0","12","12"
"接受任职命令","0","12","12"
"徐二州诸军事","6","5","11"
"号开府仪同三","7","4","11"
"督雍梁南北秦","8","3","11"
"进号征虏将军","8","3","11"
"入井宿的空隙","0","11","11"
"井宿的空隙中","0","11","11"
"行进入羽林星","0","11","11"
"行进入太微垣","0","11","11"
"升器具大小的","0","11","11"
"器具大小的流","0","11","11"
"具大小的流星","0","11","11"
"甘美的雨露降","0","11","11"
"美的雨露降在","0","11","11"
"浪峰冲上渡口","0","11","11"
"太白昼见午上","10","0","10"
"州竟陵司州随","10","0","10"
"竟陵司州随郡","10","0","10"
"雍梁南北秦四","7","3","10"
"梁南北秦四州","7","3","10"
"为南兖州刺史","0","10","10"
"为南徐州刺史","0","10","10"
"主管官吏上奏","0","10","10"
"迁太子中庶子","6","3","9"
"平西将军黄回","5","4","9"
"都督扬南徐二","5","4","9"
"督扬南徐二州","5","4","9"
"南徐二州诸军","5","4","9"
"月入东井旷中","9","0","9"
"郢州竟陵司州","9","0","9"
"改授散骑常侍","5","4","9"
"中书通事舍人","5","4","9"
"任命辅国将军","0","9","9"
"月进入井宿的","0","9","9"
"星顺行进入太","0","9","9"
"顺行进入太微","0","9","9"
"将军职依前未","0","9","9"
"军职依前未变","0","9","9"
"没有正式拜授","0","9","9"
"州刺史晋安王","4","4","8"
"青冀五州军事","4","4","8"
"都督中外诸军","4","4","8"
"督中外诸军事","4","4","8"
"军将军李安民","4","4","8"
"本号开府仪同","7","1","8"
"进号冠军将军","7","1","8"
"扬南徐二州诸","4","4","8"
"前后部羽葆鼓","4","4","8"
"后部羽葆鼓吹","4","4","8"
"汝南二郡军事","4","4","8"
"卫将军左兴盛","4","4","8"
"通关八座丞郎","4","4","8"
"永明元年正月","5","3","8"
"北辕西头第一","4","4","8"
"南辕西头第二","4","4","8"
"太微西蕃上将","8","0","8"
"司州随郡军事","8","0","8"
"州郢州竟陵司","8","0","8"
"都督湘州诸军","4","4","8"
"督湘州诸军事","4","4","8"
"青冀二州刺史","5","3","8"
"冲犯南斗的第","0","8","8"
"卵大小的流星","0","8","8"
"捕获一只白雀","0","8","8"
"世祖即皇帝位","0","8","8"
"齐太祖萧道成","0","8","8"
"常侍依前未变","0","8","8"
"建元四年三月","4","3","7"
"雍州刺史王奂","4","3","7"
"梓潼二郡太守","4","3","7"
"祠部郎何佟议","7","0","7"
"辕西头第一星","7","0","7"
"东井南辕西头","7","0","7"
"井南辕西头第","7","0","7"
"永元元年七月","4","3","7"
"元嘉二十七年","4","3","7"
"陵司州随郡军","7","0","7"
"太祖骠骑谘议","4","3","7"
"中书舍人茹法","4","3","7"
"书舍人茹法亮","4","3","7"
"江夏王刘义恭","1","6","7"
"太祖建元元年","2","5","7"
"任命冠军将军","0","7","7"
"班剑仪仗二十","0","7","7"
"剑仪仗二十人","0","7","7"
"任命新上任的","0","7","7"
"举行南郊祭祀","0","7","7"
"祠部郎何佟之","0","7","7"
"月进入太微垣","0","7","7"
"月冲犯轩辕星","0","7","7"
"冲犯轩辕星的","0","7","7"
"冲犯井宿北辕","0","7","7"
"辕西头第一颗","0","7","7"
"西头第一颗星","0","7","7"
"井宿南辕西头","0","7","7"
"宿南辕西头第","0","7","7"
"房宿北头第一","0","7","7"
"太微垣西部上","0","7","7"
"微垣西部上将","0","7","7"
"垣西部上将星","0","7","7"
"星顺行进入羽","0","7","7"
"顺行进入羽林","0","7","7"
"星冲犯太微垣","0","7","7"
"颗流星像三升","0","7","7"
"他哥哥的儿子","0","7","7"
"将军依前未变","0","7","7"
"南兰陵兰陵人","5","1","6"
"司徒中兵参军","3","3","6"
"江州刺史晋安","3","3","6"
"王吐谷浑拾寅","3","3","6"
"豫州刺史垣崇","3","3","6"
"州刺史垣崇祖","3","3","6"
"进号车骑将军","4","2","6"
"豫州郢州西阳","6","0","6"
"州郢州西阳司","6","0","6"
"郢州西阳司州","6","0","6"
"州西阳司州汝","6","0","6"
"西阳司州汝南","6","0","6"
"阳司州汝南二","6","0","6"
"司州汝南二郡","6","0","6"
"右卫将军萧坦","3","3","6"
"右仆射沈文季","3","3","6"
"太子中庶子梁","3","3","6"
"子中庶子梁王","3","3","6"
"豫州刺史裴叔","3","3","6"
"州刺史裴叔业","3","3","6"
"右卫将军左兴","3","3","6"
"雍州刺史梁王","3","3","6"
"骑将军薛元嗣","3","3","6"
"永明二年四月","4","2","6"
"东井北辕西头","6","0","6"
"井北辕西头第","6","0","6"
"南辕西头第一","3","3","6"
"东井北辕东头","6","0","6"
"井北辕东头第","6","0","6"
"辕西头第二星","6","0","6"
"永明元年五月","3","3","6"
"老人星见南方","6","0","6"
"人星见南方丙","6","0","6"
"星见南方丙上","6","0","6"
"梁州刺史范柏","3","3","6"
"州刺史范柏年","3","3","6"
"抚军中兵参军","3","3","6"
"督司州诸军事","3","3","6"
"邑三百七十户","3","3","6"
"冀五州诸军事","3","3","6"
"都督雍梁南北","4","2","6"
"州刺史崔慧景","3","3","6"
"始安王遥光反","5","1","6"
"新安王北中郎","3","3","6"
"南北秦四州郢","6","0","6"
"北秦四州郢州","6","0","6"
"秦四州郢州竟","6","0","6"
"四州郢州竟陵","6","0","6"
"汶阳太守刘孝","3","3","6"
"阳太守刘孝庆","3","3","6"
"吏部尚书何戢","3","3","6"
"徐青冀五州军","3","3","6"
"梁州刺史阴智","3","3","6"
"州刺史阴智伯","3","3","6"
"河凉二州刺史","3","3","6"
"没有接受任命","0","6","6"
"任命征虏将军","0","6","6"
"安陆王萧子敬","0","6","6"
"号为冠军将军","0","6","6"
"建安王萧宝寅","0","6","6"
"部郎何佟之建","0","6","6"
"郎何佟之建议","0","6","6"
"仆射王俭建议","0","6","6"
"生出一珥形云","0","6","6"
"出一珥形云气","0","6","6"
"井宿北辕西头","0","6","6"
"宿北辕西头第","0","6","6"
"辕西头第二颗","0","6","6"
"西头第二颗星","0","6","6"
"第一颗星东北","0","6","6"
