"N-gram","原文","翻译","Total"
"加罗秦韩慕韩六国诸军","3","3","6"
"罗秦韩慕韩六国诸军事","3","3","6"
"新罗任那加罗秦韩慕韩","0","4","4"
"都督倭新罗任加罗秦韩","3","0","3"
"督倭新罗任加罗秦韩慕","3","0","3"
"倭新罗任加罗秦韩慕韩","3","0","3"
"新罗任加罗秦韩慕韩六","3","0","3"
"罗任加罗秦韩慕韩六国","3","0","3"
"任加罗秦韩慕韩六国诸","3","0","3"
"百济国派遣使者前来朝","0","3","3"
"济国派遣使者前来朝贡","0","3","3"
"司徒竟陵王萧子良听到","0","3","3"
"这是它决不可以实行的","0","3","3"
"是它决不可以实行的理","0","3","3"
"它决不可以实行的理由","0","3","3"
"决不可以实行的理由之","0","3","3"
"都督倭新罗任那加罗秦","0","3","3"
"督倭新罗任那加罗秦韩","0","3","3"
"倭新罗任那加罗秦韩慕","0","3","3"
"罗任那加罗秦韩慕韩六","0","3","3"
"任那加罗秦韩慕韩六国","0","3","3"
"那加罗秦韩慕韩六国诸","0","3","3"
"遣辅国将军王仲德等追","1","1","2"
"桂阳公义真爲雍州刺史","2","0","2"
"安西中兵参军沈田子杀","1","1","2"
"丹阳建康县蒋山初宁陵","1","1","2"
"江州刺史桂阳王休范举","2","0","2"
"州刺史桂阳王休范举兵","2","0","2"
"车骑典签茅恬开东府纳","2","0","2"
"骑典签茅恬开东府纳贼","2","0","2"
"南徐州刺史建平王景素","2","0","2"
"征西大将军河南王吐谷","1","1","2"
"西大将军河南王吐谷浑","1","1","2"
"大将军河南王吐谷浑拾","1","1","2"
"将军河南王吐谷浑拾寅","1","1","2"
"东海兰陵县中都乡中都","1","1","2"
"海兰陵县中都乡中都里","1","1","2"
"广兴郡公沈昙亮等一百","1","1","2"
"兴郡公沈昙亮等一百二","1","1","2"
"郡公沈昙亮等一百二十","1","1","2"
"公沈昙亮等一百二十二","1","1","2"
"沈昙亮等一百二十二人","1","1","2"
"散骑常侍虞炎等十二人","1","1","2"
"升明三年四月二十三日","1","1","2"
"太子左率李居士总督西","1","1","2"
"子左率李居士总督西讨","1","1","2"
"左率李居士总督西讨诸","1","1","2"
"率李居士总督西讨诸军","1","1","2"
"李居士总督西讨诸军事","1","1","2"
"遣征虏将军李居士迎战","1","1","2"
"赐天下爲父后者爵一级","2","0","2"
"南郡王前中兵参军张彪","1","1","2"
"振远将军曹义宗等进军","1","1","2"
"开府仪同三司王僧辩等","1","1","2"
"封皇子江州刺史康乐侯","1","1","2"
"扬州刺史长沙王叔坚爲","2","0","2"
"南徐州南东海武进县东","1","1","2"
"徐州南东海武进县东城","1","1","2"
"州南东海武进县东城里","1","1","2"
"南东海武进县东城里山","1","1","2"
"召前中庶子右军长史萧","1","1","2"
"前中庶子右军长史萧斌","1","1","2"
"义熙十四年正月十五日","1","1","2"
"封镇西司马南郡太守王","1","1","2"
"镇西司马南郡太守王华","1","1","2"
"随徐州刺史薛安都入魏","1","1","2"
"义恭司徒太尉城局参军","1","1","2"
"平西记室参军夏侯恭叔","1","1","2"
"西记室参军夏侯恭叔上","1","1","2"
"记室参军夏侯恭叔上书","1","1","2"
"遣辅国将军前军司马左","1","1","2"
"辅国将军前军司马左兴","1","1","2"
"国将军前军司马左兴盛","1","1","2"
"中书舍人徐希秀断哭止","1","1","2"
"书舍人徐希秀断哭止客","1","1","2"
"永平十六年五月二十一","1","1","2"
"平十六年五月二十一日","1","1","2"
"十六年五月二十一日己","1","1","2"
"六年五月二十一日己酉","1","1","2"
"北徐州刺史封山侯正表","2","0","2"
"随太尉陈显达北围马圈","1","1","2"
"王茂率精兵先登赤鼻逻","1","1","2"
"临海王西中郎田曹行参","1","1","2"
