"N-gram","原文","翻译","Total"
"派遣使者前来朝贡","0","11","11"
"国派遣使者前来朝","0","10","10"
"秦韩慕韩六国诸军","4","4","8"
"韩慕韩六国诸军事","4","4","8"
"年春季的正月初一","0","7","7"
"加封开府仪同三司","0","7","7"
"司徒竟陵王萧子良","0","7","7"
"加罗秦韩慕韩六国","3","3","6"
"罗秦韩慕韩六国诸","3","3","6"
"元年春季的正月初","0","6","6"
"本号开府仪同三司","5","0","5"
"南徐州刺史建平王","2","2","4"
"河南王吐谷浑拾寅","2","2","4"
"大将军彭城王义康","4","0","4"
"前南谯太守王灵秀","2","2","4"
"前司州刺史羊鸦仁","2","2","4"
"世子左卫率谢灵运","2","2","4"
"北徐州刺史封山侯","2","2","4"
"魏徐州刺史元法僧","2","2","4"
"天监十一年十一月","2","2","4"
"新罗任加罗秦韩慕","4","0","4"
"罗任加罗秦韩慕韩","4","0","4"
"都督倭百济新罗任","2","2","4"
"可以带剑穿履上殿","0","4","4"
"太尉江夏王刘义恭","0","4","4"
"当时的人把他比作","0","4","4"
"遭到了母亲的丧事","0","4","4"
"遇到了母亲的丧事","0","4","4"
"太宰江夏王刘义恭","0","4","4"
"新罗任那加罗秦韩","0","4","4"
"罗任那加罗秦韩慕","0","4","4"
"任那加罗秦韩慕韩","0","4","4"
"北徐州刺史王珍国","2","1","3"
"孝悌力田爲父后者","3","0","3"
"贺若弼攻陷南徐州","1","2","3"
"监十一年十一月十","2","1","3"
"追赠开府仪同三司","1","2","3"
"州刺史鄱阳王萧范","1","2","3"
"都督倭新罗任加罗","3","0","3"
"督倭新罗任加罗秦","3","0","3"
"倭新罗任加罗秦韩","3","0","3"
"任加罗秦韩慕韩六","3","0","3"
"任命司空褚彦回为","0","3","3"
"百济国派遣使者前","0","3","3"
"济国派遣使者前来","0","3","3"
"三年春季的正月初","0","3","3"
"刺史始安王萧遥光","0","3","3"
"冬季的十月十三日","0","3","3"
"封号为征东大将军","0","3","3"
"年春季的正月初三","0","3","3"
"大将军彭城王刘义","0","3","3"
"将军彭城王刘义康","0","3","3"
"刘义恭的几个儿子","0","3","3"
"被有关部门所检举","0","3","3"
"上表请求解除职务","0","3","3"
"少年时期就很有风","0","3","3"
"年时期就很有风度","0","3","3"
"逐步升迁为太子中","0","3","3"
"徒竟陵王萧子良听","0","3","3"
"竟陵王萧子良听到","0","3","3"
"他为金紫光禄大夫","0","3","3"
"这是它决不可以实","0","3","3"
"是它决不可以实行","0","3","3"
"它决不可以实行的","0","3","3"
"决不可以实行的理","0","3","3"
"不可以实行的理由","0","3","3"
"可以实行的理由之","0","3","3"
"这个秘密没有发现","0","3","3"
"封为开府仪同三司","0","3","3"
"陈武帝杀了王僧辩","0","3","3"
"使者来献地方物产","0","3","3"
"都督倭新罗任那加","0","3","3"
"督倭新罗任那加罗","0","3","3"
"倭新罗任那加罗秦","0","3","3"
"那加罗秦韩慕韩六","0","3","3"
"劫贼馀口没台府者","2","0","2"
"骠骑将军司马元显","1","1","2"
"毅等率壮士五六十","1","1","2"
"等率壮士五六十人","1","1","2"
"徐道覆劝卢循乘虚","1","1","2"
"遣辅国将军王仲德","1","1","2"
"辅国将军王仲德等","1","1","2"
"国将军王仲德等追","1","1","2"
"前镇军将军司马休","1","1","2"
"豫州刺史诸葛长人","1","1","2"
"州刺史诸葛长人监","1","1","2"
"太尉司马丹阳尹刘","1","1","2"
"尉司马丹阳尹刘穆","1","1","2"
"诸葛长人贪淫骄横","1","1","2"
"冠军将军檀道济等","1","1","2"
"司豫北徐雍四州刺","1","1","2"
"豫北徐雍四州刺史","1","1","2"
"桂阳公义真爲雍州","2","0","2"
"阳公义真爲雍州刺","2","0","2"
"公义真爲雍州刺史","2","0","2"
"安西中兵参军沈田","1","1","2"
"西中兵参军沈田子","1","1","2"
"中兵参军沈田子杀","1","1","2"
"遣右将军朱龄石代","1","1","2"
"丹阳建康县蒋山初","1","1","2"
"阳建康县蒋山初宁","1","1","2"
"建康县蒋山初宁陵","1","1","2"
"中书舍人胡母颢专","1","1","2"
"书舍人胡母颢专权","1","1","2"
"护军将军褚彦回共","1","1","2"
"开府仪同三司蔡兴","1","1","2"
"府仪同三司蔡兴宗","1","1","2"
