"N-gram","原文","翻译","Total"
"听到这个消息","0","27","27"
"骠骑将军霍去","0","18","18"
"骑将军霍去病","0","18","18"
"以皇子的身份","0","12","12"
"皇子的身份受","0","12","12"
"子的身份受封","0","12","12"
"的身份受封为","0","12","12"
"杀死了自己的","0","11","11"
"在孝景帝前元","0","11","11"
"二千石级官员","0","11","11"
"悼惠王的儿子","0","11","11"
"杀死自己的国","0","10","10"
"死自己的国君","0","10","10"
"了自己的国君","0","10","10"
"随大将军卫青","0","10","10"
"这就是所说的","0","9","9"
"因为这个缘故","0","9","9"
"死了自己的国","0","9","9"
"成为平民百姓","0","9","9"
"御史大夫韩安","4","4","8"
"史大夫韩安国","4","4","8"
"楚公子弃疾弑","8","0","8"
"跟随大将军卫","0","8","8"
"听从了他的计","0","8","8"
"齐悼惠王的儿","0","8","8"
"楼船将军杨仆","3","4","7"
"贰师将军李广","1","6","7"
"师将军李广利","1","6","7"
"把自己的女儿","0","7","7"
"自己的女儿嫁","0","7","7"
"己的女儿嫁给","0","7","7"
"这是不能那样","0","7","7"
"是不能那样做","0","7","7"
"不能那样做的","0","7","7"
"能那样做的第","0","7","7"
"这是什么原因","0","7","7"
"是人们所说的","0","7","7"
"比孔子小四十","0","7","7"
"当了御史大夫","0","7","7"
"范氏和中行氏","0","7","7"
"大将军卫青的","0","7","7"
"我所以能知道","0","7","7"
"把国家托付给","0","7","7"
"公卿大臣请求","0","7","7"
"过了一个多月","0","7","7"
"景帝前元二年","0","7","7"
"在孝景帝中元","0","7","7"
"秦军攻下魏国","0","7","7"
"御史大夫周昌","3","3","6"
"御史大夫张汤","1","5","6"
"晋顷公十二年","3","3","6"
"所率领的军队","0","6","6"
"是说万物都已","0","6","6"
"犯法而失掉侯","0","6","6"
"法而失掉侯爵","0","6","6"
"被天下人耻笑","0","6","6"
"天下刚刚平定","0","6","6"
"匈奴大举入侵","0","6","6"
"将军打匈奴有","0","6","6"
"军打匈奴有功","0","6","6"
"身份跟随大将","0","6","6"
"份跟随大将军","0","6","6"
"从定襄出兵打","0","6","6"
"定襄出兵打匈","0","6","6"
"襄出兵打匈奴","0","6","6"
"是什么原因呢","0","6","6"
