"N-gram","原文","翻译","Total"
"水又往东流经","0","289","289"
"水又往东南流","0","237","237"
"又往东南流经","0","167","167"
"水又往东北流","0","144","144"
"又往东北流经","0","129","129"
"水又往西南流","0","75","75"
"把这地方封给","0","65","65"
"水又往南流经","0","64","64"
"水发源于西北","0","47","47"
"就是王莽时的","0","45","45"
"又往西南流经","0","44","44"
"水又往北流经","0","42","42"
"江水又往东流","0","40","40"
"这条水发源于","0","39","39"
"河水又往东流","0","36","36"
"发源于北方的","0","34","34"
"水又往西流经","0","34","34"
"水发源于西南","0","32","32"
"水发源于南山","0","31","31"
"又往东南流过","0","31","31"
"水发源于北方","0","30","30"
"水往东南流经","0","30","30"
"在右边汇合了","0","29","29"
"王莽时改名为","0","28","28"
"晋书•地道记","0","28","28"
"汉武帝元朔二","16","11","27"
"武帝元朔二年","16","11","27"
"在左边汇合了","0","27","27"
"又往东北流过","0","27","27"
"的就是这条水","0","26","26"
"水又往西北流","0","25","25"
"发源于南方的","0","25","25"
"发源于西北方","0","23","23"
"汉水又往东流","0","23","23"
"水有两个源头","0","22","22"
"水发源于南方","0","22","22"
"水往东北流经","0","21","21"
"治所就在这里","0","20","20"
"水发源于北山","0","20","20"
"渭水又往东流","0","20","20"
"汉武帝元朔四","9","10","19"
"武帝元朔四年","9","10","19"
"又往西北流经","0","19","19"
"发源于西南的","0","19","19"
"汉武帝元朔三","9","9","18"
"武帝元朔三年","9","9","18"
"说的就是这条","0","18","18"
"武帝元朔五年","7","10","17"
"的就是这地方","0","17","17"
"就发源在这里","0","17","17"
"发源于西北的","0","17","17"
"汉高帝十一年","8","8","16"
"汉高帝六年前","0","16","16"
"也就是王莽的","0","16","16"
"水就发源在这","0","16","16"
"水继续往东流","0","16","16"
"汉武帝元朔五","6","9","15"
"县就是旧时的","0","15","15"
"源于西北方的","0","15","15"
"睢水又往东流","0","15","15"
"水又往东流到","0","14","14"
"水发源于东北","0","14","14"
"又往东南注入","0","14","14"
"汉水又往西南","0","14","14"
"汝水又往东南","0","14","14"
"武帝元鼎六年","7","6","13"
"水又往东流过","0","13","13"
"又往东北注入","0","13","13"
"往东南流经阳","0","13","13"
"往东南流注入","0","13","13"
"东流注入河水","0","13","13"
"淮水又往东流","0","13","13"
"谷水发源于南","0","13","13"
"又往东流经长","0","13","13"
"谷水又往东流","0","13","13"
"又往东南流到","0","13","13"
"沅水又往东流","0","13","13"
"这就是王莽时","0","13","13"
"现在已经无水","0","13","13"
"汇合了一条水","0","12","12"
"阳县老城南面","0","12","12"
"湘水又往北流","0","12","12"
"河又往东北流","0","12","12"
"在已经无水了","0","12","12"
"这就是旧时的","0","11","11"
"分出一条支流","0","11","11"
"水发源于东方","0","11","11"
"水发源在这里","0","11","11"
"清河又往东北","0","11","11"
"水发源于北面","0","11","11"
"发源于北面的","0","11","11"
"北流注入洛水","0","11","11"
"汉高帝十二年","5","5","10"
"汉武帝元封二","4","6","10"
"武帝元封二年","4","6","10"
"汉武帝元鼎六","6","4","10"
"晋太康元年改","4","6","10"
"说的就是这地","0","10","10"
"条水都发源于","0","10","10"
"南流注入河水","0","10","10"
"河水又往东北","0","10","10"
"水发源于东南","0","10","10"
"发源于东方的","0","10","10"
"长沙定王的儿","0","10","10"
"沙定王的儿子","0","10","10"
"水发源于西方","0","10","10"
"发源于东南方","0","10","10"
"河又往东流经","0","10","10"
"川水发源于西","0","10","10"
"又往东流经武","0","10","10"
"汉武帝元朔元","4","5","9"
"武帝元朔元年","4","5","9"
"阳县老城北面","0","9","9"
"这就是王莽的","0","9","9"
"又往东流经西","0","9","9"
"阳县老城南边","0","9","9"
"发源于西南方","0","9","9"
"又往东北流到","0","9","9"
"然后往东南流","0","9","9"
"将这地方封给","0","9","9"
"又往东流经汉","0","9","9"
"水就发源在那","0","9","9"
"溪水发源于南","0","9","9"
"又往东流经新","0","9","9"
"帝元朔五年前","0","9","9"
"支流又往东流","0","9","9"
"水往西南流经","0","9","9"
"洋水又往东北","0","9","9"
"渠又往东流经","0","9","9"
"获水又往东流","0","9","9"
"北流注入渭水","0","9","9"
"洛水又往东流","0","9","9"
"封长沙定王子","8","0","8"
"汉宣帝地节三","4","4","8"
"宣帝地节三年","4","4","8"
"王子侯者年表","4","4","8"
"秦始皇二十二","5","3","8"
"始皇二十二年","5","3","8"
"溪水发源于北","0","8","8"
"又往东流经临","0","8","8"
"水在这里注入","0","8","8"
"年把这里封给","0","8","8"
"源于西南方的","0","8","8"
"淮水又往东北","0","8","8"
"然后南流注入","0","8","8"
"又在左边汇合","0","8","8"
"又往东流注入","0","8","8"
"就发源在那里","0","8","8"
"水发源于桂阳","0","8","8"
"往东北流经东","0","8","8"
"帝把这地方封","0","8","8"
"指的就是这条","0","8","8"
"流经一座老城","0","8","8"
"水发源于高平","0","8","8"
"发源于高平县","0","8","8"
"谷水发源于西","0","8","8"
"颖水又往东南","0","8","8"
"巨洋水又往东","0","8","8"
"漯水又往东流","0","8","8"
"南流注入洛水","0","8","8"
"又东北流经过","0","8","8"
"梁惠成王三十","4","3","7"
"章帝建初四年","3","4","7"
"建武二十八年","3","4","7"
"世祖建武十三","4","3","7"
