"N-gram","原文","翻译","Total"
"晋武帝太康元年","28","27","55"
"使者来进献特产","0","54","54"
"派使者来进献特","0","48","48"
"晋武帝太康二年","19","17","36"
"国派使者来进献","0","34","34"
"主事官员上奏说","0","33","33"
"宋文帝元嘉二十","16","15","31"
"孝武帝大明元年","15","16","31"
"晋孝武帝太元十","14","16","30"
"扬州刺史始兴王","14","13","27"
"泰始元年十二月","14","13","27"
"州刺史始兴王浚","20","4","24"
"州刺史南谯王义","18","6","24"
"刺史南谯王义宣","18","6","24"
"太宰江夏王义恭","14","9","23"
"州刺史桂阳王休","12","8","20"
"刺史桂阳王休范","12","8","20"
"孝武帝孝建元年","10","10","20"
"后废帝元徽元年","10","10","20"
"晋武帝咸宁元年","9","10","19"
"后废帝元徽三年","9","9","18"
"前废帝永光元年","9","9","18"
"晋武帝泰始元年","9","9","18"
"州刺史武陵王骏","8","10","18"
"有关部门上奏说","0","18","18"
"刺史彭城王义康","12","5","17"
"晋惠帝永康元年","9","8","17"
"荆州刺史南谯王","9","8","17"
"刺史巴陵王休若","9","8","17"
"州刺史彭城王义","11","5","16"
"将军巴陵王休若","8","8","16"
"魏明帝景初元年","9","7","16"
"晋惠帝永兴元年","8","8","16"
"晋愍帝建武元年","8","8","16"
"宋武帝永初元年","8","8","16"
"晋惠帝永宁元年","8","8","16"
"晋明帝太宁元年","8","8","16"
"晋惠帝元康元年","8","8","16"
"文帝元嘉十二年","8","8","16"
"太尉江夏王义恭","11","5","16"
"晋武帝太康三年","8","8","16"
"孝武帝大明五年","5","10","15"
"孝武帝大明七年","7","8","15"
"晋武帝咸宁二年","8","7","15"
"州刺史山阳王休","8","7","15"
"州刺史巴陵王休","8","7","15"
"帝泰始元年十二","8","7","15"
"元嘉二十四年七","8","7","15"
"嘉二十四年七月","8","7","15"
"州刺史晋熙王燮","7","7","14"
"晋成帝咸康元年","7","7","14"
"孝怀帝永嘉元年","7","7","14"
"豫州刺史长沙王","7","7","14"
"徐州刺史薛安都","7","7","14"
"三十四万四千二","7","7","14"
"十四万四千二百","7","7","14"
"四万四千二百六","7","7","14"
"万四千二百六十","7","7","14"
"孝武帝孝建三年","7","7","14"
"武帝泰始元年十","7","7","14"
"十九万四千九百","7","6","13"
"万四千九百九十","7","6","13"
"晋武帝太康五年","6","7","13"
"州刺史长沙王义","9","4","13"
"四千二百六十一","7","6","13"
"文帝元嘉十三年","6","7","13"
