"N-gram","原文","翻译","Total"
"开府仪同三司","29","31","60"
"通直散骑常侍","17","17","34"
"大冢宰宇文护","14","14","28"
"高祖为北周丞","0","28","28"
"祖为北周丞相","0","28","28"
"隋高祖为北周","0","26","26"
"银青光禄大夫","11","11","22"
"左翊卫大将军","10","11","21"
"右武卫大将军","9","9","18"
"金紫光禄大夫","9","8","17"
"左武卫大将军","8","8","16"
"高祖受北周禅","0","16","16"
"南道行台尚书","8","7","15"
"大将军宇文述","7","8","15"
"祖受北周禅让","0","15","15"
"以行军总管身","0","15","15"
"行军总管身份","0","15","15"
"兼通直散骑常","0","13","13"
"为北周丞相后","0","13","13"
"道行台尚书令","6","6","12"
"吏部尚书牛弘","6","6","12"
"翊卫大将军宇","5","7","12"
"卫大将军宇文","5","7","12"
"为北周丞相时","0","12","12"
"周大冢宰宇文","7","4","11"
"派遣使者来朝","0","11","11"
"派遣兼散骑常","0","11","11"
"遣兼散骑常侍","0","11","11"
"民部尚书樊子","5","5","10"
"部尚书樊子盖","5","5","10"
"武帝亲总万机","7","3","10"
"大赦天下囚犯","0","10","10"
"受北周禅让后","0","10","10"
"在官任上去世","0","10","10"
"右骁卫大将军","5","4","9"
"进位上大将军","9","0","9"
"冢宰宇文护引","7","2","9"
"道行台尚书省","4","4","8"
"左屯卫大将军","4","4","8"
"礼部尚书杨玄","4","4","8"
"部尚书杨玄感","4","4","8"
"十四州诸军事","4","4","8"
"员外散骑侍郎","4","4","8"
"鸿胪监护丧事","5","3","8"
"益州总管长史","4","4","8"
"邑一千二百户","2","6","8"
"武帝平定北齐","0","8","8"
"为尚书右仆射","0","8","8"
"派遣使者上贡","0","8","8"
"高祖任命上柱","0","8","8"
"祖任命上柱国","0","8","8"
"为开府仪同三","0","8","8"
"隋高祖受北周","0","8","8"
"陈遣散骑常侍","7","0","7"
"州总管宇文弼","3","4","7"
"使者来朝上贡","0","7","7"
"遣使者上贡土","0","7","7"
"使者上贡土产","0","7","7"
"在平定陈国的","0","7","7"
"平定陈国的战","0","7","7"
"定陈国的战争","0","7","7"
"陈国的战争中","0","7","7"
"食邑一千五百","0","7","7"
"邑一千五百户","0","7","7"
"兼任行军总管","0","7","7"
"炀帝巡幸江都","0","7","7"
"河北道行台尚","3","3","6"
"北道行台尚书","3","3","6"
"州总管韦世康","3","3","6"
"太平公史万岁","3","3","6"
"上柱国王世积","3","3","6"
"尚书左仆射杨","3","3","6"
"书左仆射杨素","3","3","6"
"兵部尚书段文","3","3","6"
"部尚书段文振","3","3","6"
"刑部尚书卫玄","3","3","6"
"兵部侍郎斛斯","3","3","6"
"部侍郎斛斯政","3","3","6"
"卫将军屈突通","3","3","6"
"右御卫大将军","3","3","6"
"右御卫将军陈","3","3","6"
"御卫将军陈棱","3","3","6"
"右翊卫大将军","3","3","6"
"太子西征吐谷","3","3","6"
"子西征吐谷浑","3","3","6"
"二十四州诸军","3","3","6"
"左卫大将军元","3","3","6"
"州道行军总管","3","3","6"
"冢宰宇文护见","3","3","6"
"进位光禄大夫","6","0","6"
"兵部尚书柳述","3","3","6"
"员外散骑常侍","3","3","6"
"扬州总管司马","3","3","6"
"韦孝宽经略淮","3","3","6"
"孝宽经略淮南","3","3","6"
"黄门侍郎裴矩","3","3","6"
"周武帝平定北","0","6","6"
"任命晋王杨广","0","6","6"
"右领军大将军","0","6","6"
"上表请求退休","0","6","6"
"以本官身份兼","0","6","6"
"本官身份兼任","0","6","6"
"食邑一千二百","0","6","6"
"长期观测积累","0","6","6"
"国遣使贡方物","5","0","5"
"高智慧等作乱","5","0","5"
"邑二千五百户","3","2","5"
"右武侯大将军","1","4","5"
"突厥派遣使者","0","5","5"
"符合我的心意","0","5","5"
"皇上十分高兴","0","5","5"
"命晋王杨广为","0","5","5"
"高丽国派遣使","0","5","5"
"丽国派遣使者","0","5","5"
"陈朝派遣兼散","0","5","5"
"朝派遣兼散骑","0","5","5"
"高祖从仁寿宫","0","5","5"
"高祖巡幸仁寿","0","5","5"
"祖巡幸仁寿宫","0","5","5"
"突厥进犯边塞","0","5","5"
"增加食邑一千","0","5","5"
"授他为大将军","0","5","5"
"授为仪同三司","0","5","5"
"任银青光禄大","0","5","5"
"周齐王宇文宪","0","5","5"
"升任上大将军","0","5","5"
"因遭母丧而离","0","5","5"
"遭母丧而离职","0","5","5"
"升任光禄大夫","0","5","5"
"杨玄感造反时","0","5","5"
"周宣帝即位后","0","5","5"
"隋高祖受禅后","0","5","5"
"又以行军总管","0","5","5"
"以行军总管的","0","5","5"
"越级提拔他当","0","5","5"
"晋王杨广镇守","0","5","5"
"都督内外诸军","3","1","4"
"督内外诸军事","3","1","4"
"郧国公韦孝宽","2","2","4"
"左武候大将军","3","1","4"
"幸安成长公主","2","2","4"
"河南道行台尚","2","2","4"
"西南道行台尚","2","2","4"
"州刺史皇甫绩","2","2","4"
"上柱国叱李长","2","2","4"
"柱国叱李长叉","2","2","4"
"上柱国达奚长","2","2","4"
"柱国达奚长儒","2","2","4"
"直散骑常侍王","2","2","4"
"总管贺娄子干","2","2","4"
"尚书左仆射高","2","2","4"
"直散骑常侍崔","2","2","4"
"朔州总管吐万","2","2","4"
"州总管吐万绪","2","2","4"
"民部尚书苏威","2","2","4"
"上柱国崔弘度","2","2","4"
"州刺史段文振","2","2","4"
"山南道行台尚","2","2","4"
"突厥沙钵略汗","4","0","4"
"吏部尚书苏威","2","2","4"
"州刺史刘仁恩","2","2","4"
"宜阳公王世积","2","2","4"
"襄邑公贺若弼","2","2","4"
"州刺史豆卢通","2","2","4"
"右武候大将军","4","0","4"
"工部尚书杨达","2","2","4"
"吴州总管宇文","2","2","4"
"将作大匠宇文","2","2","4"
"作大匠宇文恺","2","2","4"
"武卫大将军郭","2","2","4"
"卫大将军郭衍","2","2","4"
"武卫大将军李","2","2","4"
"卫大将军李景","2","2","4"
"内史侍郎虞世","2","2","4"
"史侍郎虞世基","2","2","4"
"部尚书宇文弼","2","2","4"
"右候卫大将军","4","0","4"
"太仆卿杨义臣","2","2","4"
"左骁卫大将军","2","2","4"
"武威太守樊子","2","2","4"
"威太守樊子盖","2","2","4"
"左候卫大将军","3","1","4"
"尚书右丞刘士","2","2","4"
"书右丞刘士龙","2","2","4"
"将军屈突通等","2","2","4"
"贲郎将费青奴","2","2","4"
"贼帅司马长安","2","2","4"
"江都郡丞王世","2","2","4"
"都郡丞王世充","2","2","4"
"光禄大夫段达","2","2","4"
