"N-gram","原文","翻译","Total"
"忽然看见一个","0","37","37"
"参加科举考试","0","33","33"
"这是怎么回事","0","30","30"
"过了很长时间","0","27","27"
"到什么地方去","0","24","24"
"不知道是什么","0","23","23"
"把这件事告诉","0","19","19"
"从什么地方来","0","19","19"
"唐德宗贞元年","0","18","18"
"说完就不见了","0","18","18"
"德宗贞元年间","0","18","18"
"玄宗开元年间","0","18","18"
"这件事告诉了","0","17","17"
"过了一个多月","0","17","17"
"唐朝开元年间","0","17","17"
"唐玄宗开元年","0","17","17"
"一顿饭的工夫","0","16","16"
"过了好长时间","0","16","16"
"忽然有一个人","0","16","16"
"把这事告诉了","0","15","15"
"什么地方去了","0","15","15"
"问是怎么回事","0","15","15"
"开元二十八年","7","7","14"
"是从哪里来的","0","14","14"
"个穿红衣服的","0","14","14"
"去了什么地方","0","13","13"
"穿红衣服的人","0","13","13"
"过了一段时间","0","13","13"
"河内王武懿宗","4","8","12"
"这是什么地方","0","12","12"
"一个多月之后","0","12","12"
"不知哪里去了","0","12","12"
"心念观世音经","0","12","12"
"听说了这件事","0","11","11"
"什么也没看见","0","11","11"
"把女儿嫁给了","0","11","11"
"什么也看不见","0","11","11"
"不知去了哪里","0","11","11"
"知道了这件事","0","11","11"
"生了一个男孩","0","11","11"
"知道这是什么","0","11","11"
"看见一个女子","0","11","11"
"开元二十三年","5","5","10"
"中书侍郎平章","6","4","10"
"书侍郎平章事","6","4","10"
"忽然梦见一个","0","10","10"
"过了好一会儿","0","10","10"
"个穿黄衣服的","0","10","10"
"宪宗元和年间","0","10","10"
"详细地告诉了","0","10","10"
"没有不应验的","0","10","10"
"忽然来了一个","0","10","10"
"一个穿红衣服","0","10","10"
"一个多月以后","0","10","10"
"代宗大历年间","0","10","10"
"是什么地方的","0","10","10"
"大意是这样的","0","10","10"
"个穿白衣服的","0","10","10"
"唐宪宗元和年","0","9","9"
"看见一个东西","0","9","9"
"了很长时间才","0","9","9"
"一会儿就到了","0","9","9"
"是什么地方人","0","9","9"
"知道是什么地","0","9","9"
"道是什么地方","0","9","9"
"人们都不知道","0","9","9"
"隋炀帝大业年","0","9","9"
"唐代宗大历年","0","9","9"
"其中有一个人","0","9","9"
"他叫什么名字","0","9","9"
"个穿黑衣服的","0","9","9"
"唐代开元年间","0","9","9"
"忽然看见两个","0","9","9"
"什么地方的人","0","9","9"
"经过一个多月","0","9","9"
"唐玄宗天宝十","1","7","8"
"云横秦岭家何","3","5","8"
"到了什么地方","0","8","8"
"住了一个多月","0","8","8"
"主持科举考试","0","8","8"
"这是什么意思","0","8","8"
"人说话的声音","0","8","8"
"炀帝大业年间","0","8","8"
"太宗贞观年间","0","8","8"
"唐德宗建中初","0","8","8"
"德宗建中初年","0","8","8"
"没有什么不同","0","8","8"
"不知道这是什","0","8","8"
"唐玄宗开元二","0","8","8"
"有什么不可以","0","8","8"
"唐玄宗开元末","1","6","7"
"唐卫公李德裕","4","3","7"
"正谏大夫明崇","4","3","7"
"谏大夫明崇俨","4","3","7"
"北齐后主武平","3","4","7"
"遇见一位道士","1","6","7"
"唐高宗永徽年","1","6","7"
"高宗永徽年间","1","6","7"
"常常念金刚经","2","5","7"
"一个穿白衣服","0","7","7"
"问他是怎么回","0","7","7"
"他是怎么回事","0","7","7"
"没有不灵验的","0","7","7"
"王可久的妻子","0","7","7"
"是命中注定的","0","7","7"
"他梦见一个人","0","7","7"
"象他说的那样","0","7","7"
"没有人知道这","0","7","7"
"他到哪儿去了","0","7","7"
"知道是怎么回","0","7","7"
"道是怎么回事","0","7","7"
"参加进士考试","0","7","7"
"活到八十多岁","0","7","7"
"打开棺材一看","0","7","7"
"朝宋文帝元嘉","0","7","7"
"唐太宗贞观年","0","7","7"
"唐代天宝年间","0","7","7"
"有一个穿红衣","0","7","7"
"话是什么意思","0","7","7"
"三十里的地方","0","7","7"
"不一会儿有一","0","7","7"
"一个人对他说","0","7","7"
"已经来不及了","0","7","7"
"一个接一个地","0","7","7"
"玄宗开元二十","0","7","7"
"夜里梦见一个","0","7","7"
"没有不知道的","0","7","7"
"不知道其中的","0","7","7"
"看见一个妇人","0","7","7"
"没有什么两样","0","7","7"
"唐玄宗天宝年","0","7","7"
"文帝元嘉三年","3","3","6"
"文殊师利菩萨","3","3","6"
"年七月十五日","1","5","6"
"六千三百浃辰","3","3","6"
"千三百浃辰交","3","3","6"
"诵读观世音经","1","5","6"
"明白是怎么回","0","6","6"
"白是怎么回事","0","6","6"
"有什么奇怪的","0","6","6"
"女儿嫁给了他","0","6","6"
"么也看不见了","0","6","6"
"走了二十多里","0","6","6"
"听说这件事后","0","6","6"
"由于这个原因","0","6","6"
"当时人们认为","0","6","6"
"河中浮出水面","0","6","6"
"到了一个地方","0","6","6"
"上题了一首诗","0","6","6"
"少数民族地区","0","6","6"
"他是什么地方","0","6","6"
"他到什么地方","0","6","6"
"你为什么这么","0","6","6"
"没有人知道他","0","6","6"
"不知去了什么","0","6","6"
"知去了什么地","0","6","6"
"不知道是怎么","0","6","6"
"把实情告诉了","0","6","6"
"还有一种说法","0","6","6"
"把这事报告给","0","6","6"
"们都不知道他","0","6","6"
"十几里的地方","0","6","6"
"没有治不好的","0","6","6"
"就看见一个人","0","6","6"
"他的妻子儿女","0","6","6"
"穿黑衣服的人","0","6","6"
"忽然有一天他","0","6","6"
"唐朝天宝年间","0","6","6"
"不知到什么地","0","6","6"
"知到什么地方","0","6","6"
"玄宗开元末年","0","6","6"
"看见一个女人","0","6","6"
"穿紫衣服的人","0","6","6"
"他到哪里去了","0","6","6"
"忽然有一个老","0","6","6"
"这就是所说的","0","6","6"
"唐代元和年间","0","6","6"
"对他的妻子说","0","6","6"
"什么地方来的","0","6","6"
"忽然就不见了","0","6","6"
"都知道这件事","0","6","6"
"这是什么原因","0","6","6"
"唐朝贞元年间","0","6","6"
"梦见一个女子","0","6","6"
"穿黄衣服的人","0","6","6"
"玄宗天宝年间","0","6","6"
"依仗自己有才","0","6","6"
"二十八年二月","3","2","5"
"中书舍人王仁","1","4","5"
"书舍人王仁裕","1","4","5"
"中书门下平章","2","3","5"
"书门下平章事","2","3","5"
"一心念观世音","2","3","5"
"诵念观世音经","1","4","5"
"万年县捕贼官","3","2","5"
"凤阁侍郎李昭","2","3","5"
"阁侍郎李昭德","2","3","5"
"翰林学士欧阳","2","3","5"
"林学士欧阳炯","2","3","5"
"部侍郎达奚珣","2","3","5"
"开元二十九年","2","3","5"
"五百一十一年","2","3","5"
"段成式修行里","3","2","5"
"不知到哪儿去","0","5","5"
"知到哪儿去了","0","5","5"
"变成一只老虎","0","5","5"
"他梦见一个穿","0","5","5"
"一点也不知道","0","5","5"
"这样过了好几","0","5","5"
"端端正正地坐","0","5","5"
"这才恍然大悟","0","5","5"
"谁也不知道他","0","5","5"
"自言自语地说","0","5","5"
"多得数不过来","0","5","5"
"知道这件事情","0","5","5"
"对左右的人说","0","5","5"
"一句话也不说","0","5","5"
"什么也不知道","0","5","5"
"又过了一会儿","0","5","5"
"从黄河中浮出","0","5","5"
"不知道这件事","0","5","5"
"没有别的办法","0","5","5"
"活着的时候一","0","5","5"
"再也看不见了","0","5","5"
"不知到哪里去","0","5","5"
"知到哪里去了","0","5","5"
"人们都称他为","0","5","5"
"看见一个道士","0","5","5"
"来到一个地方","0","5","5"
"一个青衣女子","0","5","5"
"不知道究竟是","0","5","5"
"南朝宋文帝元","0","5","5"
"已经几百岁了","0","5","5"
"隐居在终南山","0","5","5"
"二十里的地方","0","5","5"
"唐朝武则天当","0","5","5"
"他为什么这样","0","5","5"
"高宗显庆年间","0","5","5"
"不知哪儿去了","0","5","5"
"一个穿黄衣服","0","5","5"
"一个穿黑衣服","0","5","5"
"当时人们都认","0","5","5"
"时人们都认为","0","5","5"
"来到他的面前","0","5","5"
"另一种说法是","0","5","5"
"到别的地方去","0","5","5"
"见一个人对他","0","5","5"
"对他的儿子说","0","5","5"
"走了一百多步","0","5","5"
"到天亮的时候","0","5","5"
"有呻吟的声音","0","5","5"
"雪拥蓝关马不","0","5","5"
"拥蓝关马不前","0","5","5"
"一股奇异的香","0","5","5"
"忽然有一个女","0","5","5"
"一顿饭的时间","0","5","5"
"天快亮的时候","0","5","5"
"不能控制自己","0","5","5"
"个穿青衣的人","0","5","5"
