"N-gram","魏书","魏书翻译","Total"
"开府仪同三司","82","87","169"
"派使者前来朝","0","138","138"
"通直散骑常侍","54","54","108"
"前来朝拜纳贡","0","88","88"
"金紫光禄大夫","44","43","87"
"使者前来朝拜","0","87","87"
"员外散骑常侍","42","42","84"
"者前来朝拜纳","0","84","84"
"派遣使者入朝","0","71","71"
"国派使者前来","0","71","71"
"使者入朝贡奉","0","66","66"
"遣使者入朝贡","0","65","65"
"给事黄门侍郎","0","55","55"
"员外散骑侍郎","23","23","46"
"都督中外诸军","22","22","44"
"诸国遣使朝献","44","0","44"
"派来使者朝贡","0","43","43"
"督中外诸军事","21","21","42"
"加授散骑常侍","0","41","41"
"为骠骑大将军","0","37","37"
"使者前来朝贡","0","36","36"
"国派使臣入朝","0","35","35"
"高丽国遣使朝","34","0","34"
"吐谷浑国遣使","32","0","32"
"为车骑大将军","0","32","32"
"谷浑国遣使朝","31","0","31"
"都派使者前来","0","30","30"
"世祖回到宫中","0","28","28"
"蠕蠕国遣使朝","27","0","27"
"国派来使者朝","0","26","26"
"国都派使者前","0","26","26"
"世宗下诏书说","0","24","24"
"高凉王拓跋那","0","22","22"
"岁以上的老人","0","22","22"
"蠕国遣使朝贡","21","0","21"
"平阳王长孙翰","11","9","20"
"讨伐平定了他","0","20","20"
"浑国遣使朝贡","19","0","19"
"被赐给爵位为","0","19","19"
"国派遣使者入","0","19","19"
"通直散骑侍郎","9","9","18"
"孝文帝下诏说","0","18","18"
"太后临朝听政","0","18","18"
"任尚书右仆射","0","18","18"
"等国都派使者","0","18","18"
"使者前来朝献","0","18","18"
"年春季正月初","0","18","18"
"诏员外散骑常","17","0","17"
"丽国遣使朝贡","17","0","17"
"丽国遣使朝献","17","0","17"
"吐谷浑国派使","0","17","17"
"十岁以上的老","0","17","17"
"使臣入朝进贡","0","17","17"
"使臣入朝觐见","0","17","17"
"率领步兵骑兵","0","16","16"
"派使臣入朝觐","0","16","16"
"长安镇都大将","8","7","15"
"萧衍遣使朝贡","15","0","15"
"命骠骑大将军","0","15","15"
"他为散骑常侍","0","15","15"
"升任散骑常侍","0","15","15"
"使臣入朝聘问","0","15","15"
"派使臣入朝进","0","15","15"
"等国派使者前","0","15","15"
"太祖道武皇帝","7","7","14"
"南平公长孙嵩","8","6","14"
"诸国遣使朝贡","14","0","14"
"任命骠骑大将","0","14","14"
"任通直散骑常","0","14","14"
"派使者来朝贡","0","14","14"
"八十岁以上的","0","14","14"
"七十岁以上的","0","14","14"
"派使臣入朝聘","0","14","14"
"都派遣使者入","0","14","14"
"赠车骑大将军","11","2","13"
"高祖孝文皇帝","6","7","13"
"契丹国遣使朝","13","0","13"
"任给事黄门侍","0","13","13"
"加授冠军将军","0","13","13"
"任尚书左仆射","0","13","13"
"各派使者前来","0","13","13"
"萧衍派遣他的","0","13","13"
"派遣使者前来","0","13","13"
"国派使者朝贡","0","13","13"
"元年春季正月","0","13","13"
"萧衍派遣使者","0","13","13"
"都督南征诸军","6","6","12"
"督南征诸军事","6","6","12"
"辽东郡开国公","6","6","12"
"赠骠骑大将军","9","3","12"
"郢州刺史娄悦","6","6","12"
"武兴王杨集始","6","6","12"
"浑国遣使朝献","12","0","12"
"勿吉国遣使朝","12","0","12"
"文明太皇太后","7","5","12"
"加授龙骧将军","0","12","12"
"任骠骑大将军","0","12","12"
"兼尚书右仆射","0","12","12"
"安丰王元延明","0","12","12"
"永昌王拓跋健","0","12","12"
"刘义隆的将领","0","12","12"
"伐平定了他们","0","12","12"
"高丽国派使者","0","12","12"
"谷浑国派使者","0","12","12"
"高丽国派使臣","0","12","12"
"丽国派使臣入","0","12","12"
"布帛多少不等","0","12","12"
"衍派遣使者入","0","12","12"
"世祖下诏书说","0","12","12"
"外散骑常侍李","5","6","11"
"散骑常侍李彪","5","6","11"
"后部羽葆鼓吹","8","3","11"
"寿光侯叔孙建","5","6","11"
"冠军将军安颉","6","5","11"
