"N-gram","新唐书","新唐书翻译","Total"
"同中书门下平章事","166","166","332"
"同凤阁鸾台平章事","48","46","94"
"讯察记录囚犯的罪","0","42","42"
"察记录囚犯的罪状","0","42","42"
"任同中书门下平章","0","37","37"
"幽州卢龙军节度使","16","16","32"
"加同中书门下平章","1","31","32"
"加同中书门下三品","0","28","28"
"加同凤阁鸾台平章","0","27","27"
"赐予文武官员官阶","0","25","25"
"宗因旱灾避离正殿","0","20","20"
"并加同中书门下平","0","19","19"
"朔方道行军大总管","7","8","15"
"死罪以下囚犯减刑","0","14","14"
"加同凤阁鸾台三品","0","13","13"
"左肃政台御史大夫","5","5","10"
"州卢龙军节度使刘","5","5","10"
"因旱灾讯察记录囚","0","10","10"
"旱灾讯察记录囚犯","0","10","10"
"灾讯察记录囚犯的","0","10","10"
"一并加同中书门下","0","10","10"
"享用祭品的朝献祭","0","9","9"
"对死罪以下囚犯减","0","9","9"
"在太清宫举行装扮","0","9","9"
"太清宫举行装扮受","0","9","9"
"清宫举行装扮受祭","0","9","9"
"宫举行装扮受祭者","0","9","9"
"举行装扮受祭者享","0","9","9"
"行装扮受祭者享用","0","9","9"
"装扮受祭者享用祭","0","9","9"
"同紫微黄门平章事","4","4","8"
"高宗因旱灾避离正","0","8","8"
"赐给文武官员官阶","0","8","8"
"并加同凤阁鸾台平","0","8","8"
"用祭品的朝献祭礼","0","8","8"
"受祭者享用祭品的","0","8","8"
"祭者享用祭品的朝","0","8","8"
"者享用祭品的朝献","0","8","8"
"左神策军护军中尉","3","4","7"
"并任同中书门下平","0","7","7"
"并加同中书门下三","0","7","7"
"罪以下的犯人减刑","0","7","7"
"赐予宫廷内外官员","0","7","7"
"宗在太清宫举行装","0","7","7"
"扮受祭者享用祭品","0","7","7"
"朔方军节度副大使","3","3","6"
"陕东道大行台尚书","3","3","6"
"定襄道行军大总管","3","3","6"
"平壤道行军大总管","3","3","6"
"辽东道行军大总管","3","3","6"
"益州大都督府长史","3","3","6"
"灵武道行军大总管","3","3","6"
"彰义军节度使吴少","3","3","6"
"州卢龙军节度使李","3","3","6"
"左右神策军护军中","3","3","6"
"右神策军护军中尉","3","3","6"
"在京城南郊举行祭","0","6","6"
"京城南郊举行祭天","0","6","6"
"城南郊举行祭天大","0","6","6"
"南郊举行祭天大典","0","6","6"
"八十岁以上的老人","0","6","6"
"死罪以下的犯人减","0","6","6"
"任朔方道行军大总","0","6","6"
"流放罪以下的犯人","0","6","6"
"群臣上尊号曰开元","5","0","5"
"卫大将军契苾何力","5","0","5"
"五品上子父后者勋","5","0","5"
"这是不行的原因之","0","5","5"
"担任同中书门下平","0","5","5"
"中八十岁以上的老","0","5","5"
"卫大将军契絆何力","0","5","5"
"大将军契絆何力任","0","5","5"
"赐予臣民聚饮三日","0","5","5"
"赐许百姓聚饮三日","0","5","5"
"宗在京城南郊祭天","0","5","5"
"门下省讯察记录囚","0","5","5"
"下省讯察记录囚犯","0","5","5"
"省讯察记录囚犯的","0","5","5"
"玄宗自华清宫返京","0","5","5"
"淮西节度使李忠臣","2","2","4"
"永平军节度使李勉","2","2","4"
"剑南西川节度使张","2","2","4"
"南西川节度使张延","2","2","4"
"西川节度使张延赏","2","2","4"
"州卢龙军节度使张","2","2","4"
"卢龙军节度使张仲","2","2","4"
"龙军节度使张仲武","2","2","4"
"难军节度使李思谏","2","2","4"
"葱山道行军大总管","2","2","4"
"扬州大都督府长史","2","2","4"
"天皇大圣大弘孝皇","2","2","4"
"皇大圣大弘孝皇帝","2","2","4"
"左羽林卫大将军李","2","2","4"
"羽林卫大将军李多","2","2","4"
