"N-gram","原文","翻译","Total"
"侍卫亲军马步军都指挥","3","3","6"
"卫亲军马步军都指挥使","3","3","6"
"潞王李从珂在凤翔反叛","0","5","5"
"渤海国王大讠巽派使者","0","4","4"
"威塞等军蕃汉马步军都","2","1","3"
"看见骑白马穿红镗甲的","0","3","3"
"见骑白马穿红镗甲的人","0","3","3"
"海国王大讠巽派使者来","0","3","3"
"加授同中书门下平章事","0","3","3"
"刘仁恭被他的儿子刘守","0","3","3"
"仁恭被他的儿子刘守光","0","3","3"
"必定上奏说别人是朋党","0","3","3"
"遣泗州牙将王知朗徐州","2","0","2"
"秦宗权遣弟宗衡掠地淮","2","0","2"
"宗权遣弟宗衡掠地淮南","2","0","2"
"河东叛将冯霸杀潞州守","1","1","2"
"东叛将冯霸杀潞州守将","1","1","2"
"叛将冯霸杀潞州守将李","1","1","2"
"将冯霸杀潞州守将李克","1","1","2"
"冯霸杀潞州守将李克恭","1","1","2"
"茂贞杀韩全诲等二十人","1","1","2"
"翰林学士承旨礼部侍郎","1","1","2"
"林学士承旨礼部侍郎张","1","1","2"
"学士承旨礼部侍郎张策","1","1","2"
"潞州行营都虞候康怀英","1","1","2"
"杀右金吾卫上将军王师","1","1","2"
"右金吾卫上将军王师范","1","1","2"
"左仆射杨涉同中书门下","1","1","2"
"仆射杨涉同中书门下平","1","1","2"
"射杨涉同中书门下平章","1","1","2"
"杨涉同中书门下平章事","1","1","2"
"杀佑国军节度使王重师","1","1","2"
"行营招讨使左卫上将军","1","1","2"
"营招讨使左卫上将军陈","1","1","2"
"招讨使左卫上将军陈晖","1","1","2"
"王景仁北面行营招讨使","2","0","2"
"泰宁军节度使张守进叛","1","1","2"
"滑州兵马留后段凝攻卫","1","1","2"
"州兵马留后段凝攻卫州","1","1","2"
"神策大将军康承训统十","1","1","2"
"策大将军康承训统十八","1","1","2"
"大将军康承训统十八将","1","1","2"
"杀大同军防御使段文楚","1","1","2"
"宣慰沙陀六州三部落使","1","1","2"
"太原四面行营兵马都统","1","1","2"
"叔父克宁杀都虞候李存","1","1","2"
"父克宁杀都虞候李存质","1","1","2"
"贝州人杀梁守将张源德","1","1","2"
"新罗国王金朴英遣使者","2","0","2"
"臣上尊号曰昭文睿武光","1","1","2"
"上尊号曰昭文睿武光孝","1","1","2"
"尊号曰昭文睿武光孝皇","1","1","2"
"号曰昭文睿武光孝皇帝","1","1","2"
"成德军节度使李嗣源讨","1","1","2"
"河阳三城节度使康义诚","1","1","2"
"振武戍将安重荣叛降石","1","1","2"
"武戍将安重荣叛降石敬","1","1","2"
"戍将安重荣叛降石敬瑭","1","1","2"
"天雄军屯驻捧圣都虞候","1","1","2"
"雄军屯驻捧圣都虞候张","1","1","2"
"军屯驻捧圣都虞候张令","1","1","2"
"屯驻捧圣都虞候张令昭","1","1","2"
"张令昭逐节度使刘延皓","2","0","2"
"高行周北面行营都部署","2","0","2"
"陈州项城民史仁诩门闾","1","1","2"
"行营马军排阵使张彦泽","1","1","2"
"河东行军司马张彦威等","1","1","2"
"侍卫亲军步军都指挥使","1","1","2"
"卫亲军步军都指挥使史","1","1","2"
"亲军步军都指挥使史弘","1","1","2"
"军步军都指挥使史弘肇","1","1","2"
