"N-gram","原文","翻译","Total"
"延伸而过的山脊","0","14","14"
"就是志书所称的","0","10","10"
"十七日早晨起床","0","7","7"
"十四日早晨起床","0","7","7"
"在平旷的田野中","0","7","7"
"衣服鞋子都湿透","0","6","6"
"服鞋子都湿透了","0","6","6"
"又耸起一座山峰","0","6","6"
"二十七日早晨起","0","6","6"
"支向南延伸而下","0","6","6"
"越过一座小山岭","0","6","6"
"百户人家的村落","0","6","6"
"十六日早晨起床","0","6","6"
"有个村庄在南山","0","6","6"
"成东西向的山坞","0","6","6"
"往南延伸的山脊","0","6","6"
"的山坞十分开阔","0","6","6"
"北山后支南下第","5","0","5"
"是北山后支向南","0","5","5"
"北山后支向南延","0","5","5"
"山后支向南延伸","0","5","5"
"后支向南延伸而","0","5","5"
"向南延伸而下的","0","5","5"
"南延伸而下的第","0","5","5"
"脊穿越过去的地","0","5","5"
"穿越过去的地方","0","5","5"
"二十二日早晨起","0","5","5"
"是志书上所称的","0","5","5"
"这天共行了六十","0","5","5"
"二十四日早晨起","0","5","5"
"南行走在田野间","0","5","5"
"行走在平旷的田","0","5","5"
"走在平旷的田野","0","5","5"
"个几家人的村落","0","5","5"
"往南下延的山脊","0","5","5"
"越过山脊往西下","0","5","5"
"有数家人居住在","0","5","5"
"往东延伸的山脊","0","5","5"
"走的路非常陡峻","0","5","5"
"万历八年征八寨","2","2","4"
"南边流来的溪水","0","4","4"
"延伸下去的山脉","0","4","4"
"个耸起的山峰为","0","4","4"
"二十三日早晨起","0","4","4"
"就是志书上所称","0","4","4"
"山脊穿越过去的","0","4","4"
"接连越过两座山","0","4","4"
"桥横架在溪流上","0","4","4"
"合流后往东南流","0","4","4"
"往东延伸的山脉","0","4","4"
"景色优美的地方","0","4","4"
"溪水自东北流来","0","4","4"
"个百户人家的村","0","4","4"
"就是志书所说的","0","4","4"
"向西南行走在田","0","4","4"
"西南行走在田野","0","4","4"
"延伸而过的山脉","0","4","4"
"面分出支脉南下","0","4","4"
"北行走在田野间","0","4","4"
"有个几家人的村","0","4","4"
"向西南下走一里","0","4","4"
"巡察地方的使者","0","4","4"
"面的峡谷中流来","0","4","4"
"十三日早晨起床","0","4","4"
"越过山坳往西走","0","4","4"
"形成南北向的山","0","4","4"
"水从哪里流出去","0","4","4"
"有座巨大的石桥","0","4","4"
"是延伸而过的山","0","4","4"
"往南延伸后向东","0","4","4"
"南延伸后向东转","0","4","4"
"往南延伸到这里","0","4","4"
"是从北往南走向","0","4","4"
"又往北走一里半","0","4","4"
"敞开东西走向的","0","4","4"
"日早晨起床吃饭","0","4","4"
"如同伸展的旗帜","0","4","4"
"同伸展的旗帜立","0","4","4"
"又往东走一里多","0","4","4"
"有两三家人紧靠","0","4","4"
"南延伸的大山脊","0","4","4"
"上登东突的山坡","0","4","4"
"在山麓书馆抄书","0","4","4"
"特别突出的高峰","0","4","4"
"上林县东北四十","2","1","3"
"林县东北四十五","2","1","3"
"县东北四十五里","2","1","3"
"窆ｂｉǎｎ埋葬","3","0","3"
"眢ｙｕāｎ干枯","3","0","3"
"ｙｕāｎ干枯井","3","0","3"
"藏经阁前桃花下","2","1","3"
"重东环南下分支","3","0","3"
"右甸东分支南下","3","0","3"
"甸东分支南下第","3","0","3"
"历八年征八寨时","1","2","3"
"条溪水从西南的","0","3","3"
"溪水从西南的山","0","3","3"
"从西南的山峡中","0","3","3"
"溪水汇合而往北","0","3","3"
"水汇合而往北流","0","3","3"
"初六日早晨起床","0","3","3"
"没有落脚的地方","0","3","3"
"的地方就是这里","0","3","3"
"仿佛不再是人世","0","3","3"
"佛不再是人世间","0","3","3"
"突出于众峰之上","0","3","3"
"像鱼鳞一样地排","0","3","3"
"鱼鳞一样地排列","0","3","3"
"接连翻过两座山","0","3","3"
"面延伸过来的山","0","3","3"
"延伸过来的山脉","0","3","3"
"从西面山坞中流","0","3","3"
"延伸过来的山脊","0","3","3"
"直到天亮才停止","0","3","3"
"日鸡叫第二遍时","0","3","3"
"向南延伸下来的","0","3","3"
"它是北山后支向","0","3","3"
"又翻越一座山岭","0","3","3"
"十八日早晨起来","0","3","3"
"中的一个大村落","0","3","3"
"这是南外谷的第","0","3","3"
"十二日早晨起来","0","3","3"
"翻过一座小山岭","0","3","3"
"溪水自北往南流","0","3","3"
"福建省界的那座","0","3","3"
"建省界的那座大","0","3","3"
"省界的那座大山","0","3","3"
"山脊越过来的地","0","3","3"
"脊越过来的地方","0","3","3"
"一个平坦的山坞","0","3","3"
"又往西北走一里","0","3","3"
"又往西北走二里","0","3","3"
"谷稍微开阔了些","0","3","3"
"有条大溪从南面","0","3","3"
"这天只行了三十","0","3","3"
"到一片平坦的田","0","3","3"
"一片平坦的田野","0","3","3"
"见到平坦的田野","0","3","3"
"连越过两座山脊","0","3","3"
"往西越过一座山","0","3","3"
"两条溪水汇合而","0","3","3"
"条溪水汇合而往","0","3","3"
"才能够航行船只","0","3","3"
