"N-gram","原文","翻译","Total"
"陈国派使者前来通问修","0","11","11"
"国派使者前来通问修好","0","11","11"
"贺拔岳被侯莫陈悦杀害","0","11","11"
"东魏北豫州刺史高仲密","4","3","7"
"州白马傥城二防诸军事","2","2","4"
"东魏洛州刺史独孤永业","2","2","4"
"增加封地连原来的一共","0","4","4"
"魏北豫州刺史高仲密举","3","0","3"
"陈湘州刺史华皎举州归","1","2","3"
"一同派使者贡献当地土","0","3","3"
"同派使者贡献当地土特","0","3","3"
"派使者贡献当地土特产","0","3","3"
"皇上亲自率领六军在城","0","3","3"
"上亲自率领六军在城南","0","3","3"
"派使者前来贡献土特产","0","3","3"
"侯莫陈悦杀害贺拔岳后","0","3","3"
"跟随太祖讨伐侯莫陈悦","0","3","3"
"拔岳被侯莫陈悦杀害以","0","3","3"
"岳被侯莫陈悦杀害以后","0","3","3"
"到贺拔岳被侯莫陈悦杀","0","3","3"
"官位提升为骠骑大将军","0","3","3"
"加封地连原来的一共一","0","3","3"
"封地连原来的一共一千","0","3","3"
"增加食邑与以前的相加","0","3","3"
"加食邑与以前的相加共","0","3","3"
"其王派遣使者来贡献特","0","3","3"
"王派遣使者来贡献特产","0","3","3"
"总管襄郢昌丰唐蔡六州","1","1","2"
"管襄郢昌丰唐蔡六州诸","1","1","2"
"襄郢昌丰唐蔡六州诸军","1","1","2"
"郢昌丰唐蔡六州诸军事","1","1","2"
"功臣琅邪贞献公贺拔胜","1","1","2"
"臣琅邪贞献公贺拔胜等","1","1","2"
"琅邪贞献公贺拔胜等十","1","1","2"
"邪贞献公贺拔胜等十三","1","1","2"
"贞献公贺拔胜等十三人","1","1","2"
"献公贺拔胜等十三人配","1","1","2"
"公贺拔胜等十三人配享","1","1","2"
"贺拔胜等十三人配享太","1","1","2"
"拔胜等十三人配享太祖","1","1","2"
"胜等十三人配享太祖庙","1","1","2"
"等十三人配享太祖庙庭","1","1","2"
"大将军武安公侯莫陈琼","1","1","2"
"后宫罗绮工人五百余人","1","1","2"
"上大将军新宁公叱列长","1","1","2"
"三雍二华等二十三州诸","1","1","2"
"雍二华等二十三州诸军","1","1","2"
"二华等二十三州诸军事","1","1","2"
"益宁巴泸等二十四州诸","1","1","2"
"宁巴泸等二十四州诸军","1","1","2"
"巴泸等二十四州诸军事","1","1","2"
"加都督三雍三秦二岐二","1","1","2"
"都督三雍三秦二岐二华","1","1","2"
"督三雍三秦二岐二华诸","1","1","2"
"三雍三秦二岐二华诸军","1","1","2"
"雍三秦二岐二华诸军事","1","1","2"
"都督关中三十州诸军事","1","1","2"
"都督雍华豳泾原三秦二","1","1","2"
"督雍华豳泾原三秦二岐","1","1","2"
"雍华豳泾原三秦二岐十","1","1","2"
"华豳泾原三秦二岐十州","1","1","2"
"豳泾原三秦二岐十州诸","1","1","2"
"泾原三秦二岐十州诸军","1","1","2"
"原三秦二岐十州诸军事","1","1","2"
"定赵恒沧瀛五州诸军事","1","1","2"
"山南道五十二州诸军事","1","1","2"
"都督利沙文三州诸军事","1","1","2"
"总管梁兴等十九州诸军","1","1","2"
"管梁兴等十九州诸军事","1","1","2"
"魏北豫州刺史高仲密请","1","1","2"
"延夏盐恒燕五州诸军事","1","1","2"
"赠河鄯邓延洮宕翼七州","1","1","2"
"河鄯邓延洮宕翼七州诸","1","1","2"
"鄯邓延洮宕翼七州诸军","1","1","2"
"邓延洮宕翼七州诸军事","1","1","2"
"冀沧瀛赵卫贝魏洛八州","1","1","2"
"沧瀛赵卫贝魏洛八州诸","1","1","2"
"瀛赵卫贝魏洛八州诸军","1","1","2"
"赵卫贝魏洛八州诸军事","1","1","2"
"总管荆郢硖夔复沔岳沅","1","1","2"
"管荆郢硖夔复沔岳沅澧","1","1","2"
"荆郢硖夔复沔岳沅澧鄂","1","1","2"
"郢硖夔复沔岳沅澧鄂十","1","1","2"
"硖夔复沔岳沅澧鄂十州","1","1","2"
"夔复沔岳沅澧鄂十州诸","1","1","2"
"复沔岳沅澧鄂十州诸军","1","1","2"
"沔岳沅澧鄂十州诸军事","1","1","2"
"金迁房直均五州诸军事","1","1","2"
"都督益潼等三十一州诸","1","1","2"
"督益潼等三十一州诸军","1","1","2"
"益潼等三十一州诸军事","1","1","2"
"齐洛州刺史独孤永业相","1","1","2"
"洛州刺史独孤永业相对","1","1","2"
"魏将作大匠浑十一世孙","2","0","2"
"随应等十一州甑山上明","1","1","2"
"应等十一州甑山上明鲁","1","1","2"
"等十一州甑山上明鲁山","1","1","2"
"十一州甑山上明鲁山三","1","1","2"
"一州甑山上明鲁山三镇","1","1","2"
"州甑山上明鲁山三镇诸","1","1","2"
"甑山上明鲁山三镇诸军","1","1","2"
"山上明鲁山三镇诸军事","1","1","2"
"荆淅等十四州南阳平阳","1","1","2"
"淅等十四州南阳平阳等","1","1","2"
"等十四州南阳平阳等八","1","1","2"
"十四州南阳平阳等八防","1","1","2"
"四州南阳平阳等八防诸","1","1","2"
"州南阳平阳等八防诸军","1","1","2"
"南阳平阳等八防诸军事","1","1","2"
"信江随二郢淅等十三州","1","1","2"
"江随二郢淅等十三州诸","1","1","2"
"随二郢淅等十三州诸军","1","1","2"
"二郢淅等十三州诸军事","1","1","2"
"授都督信临等七州诸军","1","1","2"
"都督信临等七州诸军事","1","1","2"
"大将军宇文虬攻克上津","1","1","2"
"隋文帝遣舍人萧子宝祭","1","1","2"
"骠骑庐陵王府田曹参军","1","1","2"
"沃野镇人破六汗拔陵作","1","1","2"
"野镇人破六汗拔陵作乱","1","1","2"
"河西流民纥豆陵伊利等","1","1","2"
"北豫州刺史高仲密举州","2","0","2"
"豫州刺史高仲密举州附","2","0","2"
"齐北豫州刺史司马消难","2","0","2"
"北豫州刺史司马消难举","2","0","2"
"豫州刺史司马消难举州","2","0","2"
"州刺史司马消难举州附","2","0","2"
"大将军梁国公侯莫陈芮","1","1","2"
"柱国梁国公侯莫陈芮率","1","1","2"
"伪齐昌王莫多娄敬显等","1","1","2"
"三百三十万二千五百二","1","1","2"
"百三十万二千五百二十","1","1","2"
"三十万二千五百二十八","1","1","2"
"淮等十四州十防诸军事","1","1","2"
"沃野镇人破六汗拔陵反","1","1","2"
"加授南道大行台尚书左","1","1","2"
"授南道大行台尚书左仆","1","1","2"
"南道大行台尚书左仆射","1","1","2"
"都督泾北豳二夏四州诸","1","1","2"
"督泾北豳二夏四州诸军","1","1","2"
"泾北豳二夏四州诸军事","1","1","2"
